NAME:,team10 walk2,,
5.8,-11.05,4.63,-4.4
5.9,-6.31,4.51,-3.67
6,-6.31,5.74,-2.18
6.1,-8.83,5.51,-2.18
6.2,-9.26,4.47,-2.18
6.3,-7.34,8.68,-4.67
6.4,-10.14,6.96,-5.2
6.5,-8.38,7.23,-1.64
6.6,-4.36,1.72,-1.87
6.7,-7.69,2.72,0.08
6.8,-13.69,7.53,2.79
6.9,-13.35,3.9,-5.85
7,-7.42,6.81,-5.12
7.1,-6.65,5.09,-3.14
7.2,-6.08,6.2,-3.33
7.3,-6.46,6.5,-1.91
7.4,-6.96,5.78,-1.61
7.5,-8.64,10.9,-6
7.6,-7,5.16,-5.39
7.7,-8.07,9.06,-2.72
7.8,-4.78,3.6,-2.6
7.9,-6.5,3.4,-1.26
8,-9.68,5.43,-0.73
8.1,-7.61,7.42,1.22
8.2,-7.34,1.57,-3.98
8.3,-9.41,6.69,-2.26
8.4,-5.58,4.13,-3.14
8.5,-7.23,5.89,-2.33
8.6,-7.23,5.28,-2.64
8.7,-8.95,8.64,-2.64
8.8,-7.42,8.57,-6.23
8.9,-8.15,9.22,-4.02
9,-5.51,4.4,-2.91
9.1,-4.63,2.37,-2.52
9.2,-9.41,3.4,0.8
9.3,-8.91,4.97,4.67
9.4,-14.99,4.21,-4.82
9.5,-13.54,8.49,-4.78
9.6,-5.16,3.52,-2.75
9.7,-6,5.2,-2.83
9.8,-6.92,4.82,-2.49
9.9,-7.57,7.53,-0.1942648
10.6,-13.19,7.11,-0.27
10.7,-6.77,8.11,-3.21
10.8,-7.3,7.15,-1.87
10.9,-4.51,3.67,-2.87
11,-8.64,6.04,-2.72
11.1,-5.51,5.39,-0.8
11.2,-9.18,6.39,-0.15
11.3,-9.71,10.02,-4.51
11.4,-8.03,7.8,-6
11.5,-6.12,5.09,-2.45
11.6,-5.58,2.83,-2.52
11.7,-7.27,2.87,-0.57
11.8,-12.62,4.67,4.21
11.9,-12.51,5.81,0.54
12,-8.15,8.45,-2.79
12.1,-6.08,5.93,-2.29
12.2,-5.7,4.51,-3.06
12.3,-4.82,6.04,-1.38
12.4,-8.91,4.74,-2.68
12.5,-9.18,10.33,-3.48
12.6,-8.72,6.39,-7.57
12.7,-8.64,7,-4.78
12.8,-3.25,1.53,-2.52
12.9,-6.31,1.84,-1.45
13,-10.9,5.32,0.57
13.1,-8.3,5.81,-3.02
13.2,-3.94,2.94,-3.29
13.3,-8.8,7.04,-2.91
13.4,-5.12,2.87,-3.21
13.5,-6.27,5.05,-2.29
13.6,-7.15,5.05,-1.53
13.7,-8.95,7,-0.57
13.8,-9.1,8.3,-6.35
13.9,-10.36,6.69,-6.73
14,-6.39,5.81,-1.87
14.1,-4.55,1.99,-2.72
14.2,-7.27,2.75,-0.84
14.3,-10.59,5.89,1.45
14.4,-10.29,5.01,-1.3
14.5,-4.4,3.17,-2.75
14.6,-7.46,6.08,-1.64
14.7,-5.7,3.21,-3.1
14.8,-5.97,4.97,-1.8
14.9,-7.69,4.21,-2.33
15,-9.79,7.73,-1.68
15.1,-9.6,7.5,-8.34
15.2,-10.06,5.89,-5.2
15.3,-5.89,3.6,-1.49
15.4,-4.82,2.37,-1.22
15.5,-7.46,4.28,0.5
15.6,-10.48,4.28,2.7242705
16.3,-9.64,9.26,-4.63
16.4,-9.64,5.62,-6.5
16.5,-7.69,6.81,-2.91
16.6,-4.67,1.95,-1.87
16.7,-6.73,2.45,-1.3
16.8,-8.83,4.59,1.26
16.9,-10.98,6.88,-2.64
17,-4.86,2.33,-4.02
17.1,-7.53,4.86,-1.64
17.2,-5.97,4.09,-3.1
17.3,-6.77,5.55,-1.26
17.4,-8.26,4.51,-2.49
17.5,-10.14,10.75,-5.12
17.6,-9.41,4.63,-6.69
17.7,-8.07,6.35,-3.75
17.8,-4.74,2.14,-1.95
17.9,-6.46,1.68,-1.26
18,-9.83,7.08,0.99
18.1,-11.89,5.2,-2.6
18.2,-2.83,4.13,-2.45
18.3,-7.11,5.28,-2.45
18.4,-5.85,4.28,-2.87
18.5,-5.28,3.94,-1.64
18.6,-9.56,6,-3.02
18.7,-8.72,9.83,-4.05
18.8,-8.8,4.86,-6.85
18.9,-9.03,6.58,-4.55
19,-5.43,3.67,-1.84
19.1,-5.24,1.76,-1.57
19.2,-7.38,4.55,0.34
19.3,-12.35,5.39,4.51
19.4,-12.16,1.11,-4.74
19.5,-10.79,8.61,-2.41
19.6,-5.47,2.14,-3.79
19.7,-6.96,5.39,-1.99
19.8,-6.73,4.28,-1.49
19.9,-9.06,6.58,-0.5
20,-9.03,8.45,-3.52
20.1,-10.71,7.08,-5.74
20.2,-7.84,6.23,-1.68
20.3,-3.63,2.14,-2.49
20.4,-7.76,3.25,-0.5
20.5,-9.98,4.44,0.46
20.6,-4.63,7.5,-4.82
20.7,-3.94,1.76,-3.94
20.8,-9.03,5.78,-2.33
20.9,-5.43,4.21,-2.91
21,-7.46,5.97,-0.54
21.1,-7.84,5.81,-1.95
21.2,-8.68,6.27,-1.61
21.3,-10.75,9.56,-6.2342762
22,-10.48,4.78,-3.17
22.1,-6.23,3.33,-2.79
22.2,-6.23,5.97,-0.54
22.3,-7.04,4.78,-0.96
22.4,-9.29,6.73,-1.64
22.5,-9.87,6.65,-6.92
22.6,-10.06,7.15,-6.54
22.7,-7.57,5.12,-1.15
22.8,-4.7,1.3,-1.26
22.9,-6.85,3.29,1.34
23,-13.04,5.97,4.25
23.1,-18.09,5.97,-4.59
23.2,-11.55,10.14,-5.24
23.3,-6.08,4.21,-3.37
23.4,-5.01,4.74,-1.95
23.5,-6.46,5.24,-0.04
23.6,-7.57,5.93,-0.38
23.7,-9.94,7.99,-3.71
23.8,-9.83,6.43,-6.35
23.9,-8.68,6.73,-2.94
24,-5.58,1.68,-1.95
24.1,-6.62,3.17,0.42
24.2,-12.32,4.36,2.41
24.3,-13.85,2.18,-3.33
24.4,-8.15,6.31,-4.47
24.5,-5.97,3.82,-2.75
24.6,-5.16,4.63,-2.03
24.7,-6.5,5.81,0.46
24.8,-8.61,3.67,-1.76
24.9,-11.17,8.15,-5.01
25,-5.58,6.62,-4.78
25.1,-7.42,7.73,-3.98
25.2,-5.51,3.06,-1.3
25.3,-7.23,2.56,0.42
25.4,-9.33,5.39,-0.11
25.5,-11.17,5.47,-2.56
25.6,-4.86,3.52,-3.29
25.7,-6.81,4.17,-1.49
25.8,-5.32,3.79,-2.56
25.9,-6.54,5.7,-0.57
26,-7.92,5.39,-1.95
26.1,-10.52,10.44,-5.78
26.2,-9.71,4.4,-6.16
26.3,-7.23,6.85,-2.29
26.4,-4.7,2.03,-1.64
26.5,-6.62,2.72,-0.11
26.6,-13.77,4.51,3.21
26.7,-14.57,6.43,-2.18
26.8,-10.71,9.45,-3.33
26.9,-7.42,4.93,-2.45
27,-4.7,4.63,-2.18
27.1,-7.57,5.81,-0.344282
27.7,-6.77,0.92,0.08
27.8,-12.97,5.43,3.94
27.9,-13.58,4.21,-3.86
28,-9.45,8.41,-3.82
28.1,-6.65,4.25,-2.14
28.2,-5.01,3.63,-1.95
28.3,-7.23,5.62,0.04
28.4,-8.07,5.05,-1.42
28.5,-9.22,10.17,-5.24
28.6,-9.03,3.4,-5.51
28.7,-8.03,6.92,-1.61
28.8,-4.51,1.8,-1.91
28.9,-6.73,2.68,0.38
29,-13.85,4.9,3.1
29.1,-13.12,6,-4.02
29.2,-7.61,8.07,-3.98
29.3,-6.92,3.37,-3.06
29.4,-4.9,5.66,-2.41
29.5,-6.43,5.7,-0.96
29.6,-7.76,6.54,-0.65
29.7,-8.91,9.79,-5.97
29.8,-11.47,5.58,-5.7
29.9,-7.38,6.43,-1.64
30,-3.98,1.26,-1.61
30.1,-7.61,2.29,0.88
30.2,-15.07,7.73,4.44
30.3,-14.95,4.44,-5.12
30.4,-11.01,8.38,-2.37
30.5,-6.77,3.6,-3.75
30.6,-5.05,4.9,-1.87
30.7,-7.61,5.58,-1.03
30.8,-8.83,6.43,-0.88
30.9,-9.33,9.45,-6.35
31,-12.35,7.5,-4.32
31.1,-6.39,6.35,-1.19
31.2,-5.16,1.3,-1.68
31.3,-7.15,4.44,-1.34
31.4,-12.51,9.18,3.21
31.5,-17.94,5.89,-3.44
31.6,-9.79,5.55,-2.6
31.7,-6.2,3.9,-3.29
31.8,-6.54,5.51,-1.84
31.9,-7.23,5.28,-1.57
32,-9.22,6.96,-0.19
32.1,-10.06,9.14,-7.8
32.2,-9.87,7.65,-5.89
32.3,-5.58,4.59,-1.15
32.4,-4.55,1.3,-1.22
32.5,-8.38,4.78,-1.87
32.6,-7.5,7.38,0.7342875
33.4,-9.45,6.73,-3.86
33.5,-4.55,2.03,-1.49
33.6,-6.04,2.07,0.15
33.7,-13.5,4.55,4.25
33.8,-15.76,6.43,-2.49
33.9,-12.47,8.07,-2.49
34,-5.97,4.25,-3.02
34.1,-5.05,4.86,-2.33
34.2,-6.43,5.78,-2.29
34.3,-10.17,7.3,-2.37
34.4,-9.26,11.24,-6.58
34.5,-11.28,6.2,-7
34.6,-6.46,4.9,-2.6
34.7,-4.93,1.61,-1.76
34.8,-6.65,2.29,-2.14
34.9,-16.9,7.04,3.21
35,-14.23,2.29,-6.16
35.1,-12.43,6.81,-1.99
35.2,-5.97,2.75,-3.71
35.3,-5.78,4.86,-1.11
35.4,-7.11,5.66,-0.76
35.5,-10.44,7.53,-0.65
35.6,-7.76,7.88,-7.19
35.7,-10.1,6.77,-5.05
35.8,-4.93,3.06,-2.07
35.9,-5.32,1.99,-0.65
36,-10.52,6.5,0.11
36.1,-10.71,6.31,-2.26
36.2,-4.86,8.03,-3.94
36.3,-6.2,4.82,-1.19
36.4,-4.44,4.13,-2.56
36.5,-7.73,5.05,-1.8
36.6,-9.68,6.92,-1.34
36.7,-9.41,10.4,-6.43
36.8,-10.48,6.46,-6.62
36.9,-5.89,5.85,-1.76
37,-4.17,0.96,-2.41
37.1,-6.5,2.07,-0.96
37.2,-15.49,6.69,3.79
37.3,-15.91,5.32,-1.91
37.4,-11.28,9.33,-3.52
37.5,-5.81,4.21,-3.02
37.6,-4.59,4.05,-2.37
37.7,-6.62,5.51,-0.69
37.8,-9.91,5.58,-0.08
37.9,-7.42,9.29,-7.34
38,-10.17,8.26,-5.05
38.1,-5.35,4.17,-2.29
38.2,-3.6,0.31,-1.95
38.3,-11.36,5.16,-0.3142932
39.1,-9.79,6.04,-6.54
39.2,-6.58,7.04,-2.26
39.3,-4.17,0.8,-1.84
39.4,-6.46,2.6,-0.54
39.5,-12.62,3.98,3.6
39.6,-13,2.83,-1.8
39.7,-15.72,10.4,-2.18
39.8,-5.12,3.25,-3.29
39.9,-4.93,3.86,-2.33
40,-7.65,6.16,-1.91
40.1,-11.24,5.93,0.08
40.2,-9.94,8.95,-8.3
40.3,-10.36,7.34,-5.09
40.4,-5.32,3.94,-2.75
40.5,-5.05,1.45,-1.34
40.6,-9.83,5.55,0.88
40.7,-10.1,7.53,-0.11
40.8,-6,0.84,-4.28
40.9,-7.76,5.39,-2.64
41,-5.66,3.9,-2.75
41.1,-7.23,4.93,-1.53
41.2,-8.15,5.39,-1.38
41.3,-9.83,9.98,-4.47
41.4,-9.56,5.78,-5.66
41.5,-7.38,7,-1.57
41.6,-4.32,1.95,-2.37
41.7,-5.2,1.26,-1.11
41.8,-12.32,6.04,4.13
41.9,-15.26,5.55,-2.94
42,-13.31,9.1,-2.6
42.1,-5.47,3.02,-3.37
42.2,-5.78,4.63,-2.72
42.3,-6.65,5.55,-1.38
42.4,-8.83,6.96,-1.26
42.5,-9.75,9.03,-4.17
42.6,-10.9,7.61,-5.89
42.7,-7.27,6.62,-2.1
42.8,-3.37,1.95,-2.6
42.9,-7.76,1.95,-0.11
43,-12.32,5.74,5.2
43.1,-13.39,6.27,-5.43
43.2,-12.85,12.24,-1.99
43.3,-5.97,3.14,-3.06
43.4,-5.47,4.32,-2.18
43.5,-7.69,5.85,-1.38
43.6,-10.33,6.58,-1.99
43.7,-8.07,6.62,-6.08
43.8,-11.78,7.92,-4.05
43.9,-5.24,4.28,-1.91
44,-4.51,1.61,-0.92
44.1,-9.71,7.04,-0.114299
44.8,-9.37,11.67,-4.21
44.9,-9.79,6.16,-6.43
45,-7.73,7.42,-0.92
45.1,-3.6,1.64,-2.68
45.2,-7.19,2.07,-1.64
45.3,-8.64,6.85,2.14
45.4,-9.52,6.69,-3.75
45.5,-4.44,4.78,-2.6
45.6,-7.3,4.74,-0.92
45.7,-5.28,3.75,-2.49
45.8,-7.8,5.62,-1.53
45.9,-8.15,5.85,-1.03
46,-8.41,7.38,-0.5
46.1,-9.37,9.37,-7.61
46.2,-10.14,6.39,-4.47
46.3,-4.36,3.1,-1.38
46.4,-4.93,1.26,-1.38
46.5,-9.52,5.78,-0.76
46.6,-10.29,7.53,0.23
46.7,-5.35,0.92,-5.78
46.8,-9.64,5.47,-3.14
46.9,-6.58,3.98,-3.33
47,-5.66,5.39,-1.72
47.1,-7.04,4.44,-1.11
47.2,-10.67,6.04,-0.61
47.3,-9.14,8.38,-6.12
47.4,-11.67,6.81,-5.05
47.5,-5.16,4.13,-1.57
47.6,-4.36,1.42,-1.68
47.7,-8.64,4.13,-1.3
47.8,-9.33,8.15,0.08
47.9,-4.97,0.57,-4.7
48,-8.53,6.27,-2.03
48.1,-5.35,3.48,-3.86
48.2,-6.54,4.74,-2.29
48.3,-8.8,4.9,-1.19
48.4,-9.83,8.41,-1.42
48.5,-8.57,9.26,-8.41
48.6,-9.79,6.43,-4.67
48.7,-3.37,2.87,-1.53
48.8,-7.3,0.99,-0.99
48.9,-9.71,6.27,0.54
49,-8.99,4.9,-2.33
49.1,-4.09,3.63,-3.17
49.2,-8.03,5.7,-0.65
49.3,-4.97,3.4,-3.29
49.4,-6.43,4.4,-2.1
49.5,-8.83,5.81,-1.8
49.6,-10.25,12.2,-4.7
49.7,-8.87,6.62,-6.6243046
50.5,-6.16,4.9,-2.75
50.6,-6,5.35,-0.76
50.7,-9.6,5.01,-0.92
50.8,-8.95,10.9,-4.74
50.9,-10.17,7,-6.85
51,-7.42,6.69,-2.45
51.1,-3.75,0.65,-1.99
51.2,-7.57,1.45,-0.19
51.3,-10.98,3.79,1.76
51.4,-12.2,4.44,-2.29
51.5,-4.82,5.85,-2.75
51.6,-7.3,5.05,-1.42
51.7,-5.12,3.79,-2.68
51.8,-6.77,5.43,-0.92
51.9,-8.95,5.05,-1.95
52,-10.14,9.71,-3.71
52.1,-9.98,5.89,-5.81
52.2,-8.53,5.89,-3.29
52.3,-4.25,2.91,-1.61
52.4,-6.2,0.88,-1.42
52.5,-11.97,6.54,0.8
52.6,-9.6,5.39,0.08
52.7,-6.23,0.42,-4.17
52.8,-7.84,5.62,-2.18
52.9,-5.55,3.86,-3.86
53,-7.11,4.9,-1.49
53.1,-8.87,5.01,-1.03
53.2,-9.83,8.38,-2.07
53.3,-7.84,7.84,-7.08
53.4,-8.95,6.08,-4.02
53.5,-4.25,2.6,-1.53
53.6,-6.73,1.87,-0.8
53.7,-9.18,6.85,-1.91
53.8,-8.95,5.28,-1.11
53.9,-3.75,1.03,-4.17
54,-8.18,4.47,-2.18
54.1,-5.39,3.21,-3.48
54.2,-6.96,5.66,-1.07
54.3,-8.03,4.9,-2.37
54.4,-9.94,7.65,-0.65
54.5,-7.3,8.3,-6.77
54.6,-10.98,5.81,-4.97
54.7,-6.39,2.91,-2.68
54.8,-4.97,2.1,-1.53
54.9,-7.61,3.94,-0.65
55,-13.54,5.89,3.48
55.1,-15.41,6.5,-3.37
55.2,-12.43,6.96,-4.05
55.3,-5.66,3.9,-2.83
55.4,-6,4.13,-3.0243103
56.2,-13.88,5.74,2.41
56.3,-13.62,5.58,-3.06
56.4,-8.41,7.88,-3.75
56.5,-5.78,3.67,-1.84
56.6,-5.55,4.51,-2.03
56.7,-6.39,5.01,-0.34
56.8,-9.37,5.05,-1.42
56.9,-10.75,9.75,-5.35
57,-9.91,6.62,-5.66
57.1,-8.49,6.77,-3.1
57.2,-3.4,1.61,-1.38
57.3,-6.46,1.42,0.34
57.4,-13.23,4.55,4.32
57.5,-14.42,5.51,-4.93
57.6,-10.21,9.18,-6.69
57.7,-6.96,5.47,-4.93
57.8,-6.58,5.32,-2.52
57.9,-7.42,5.78,-3.44
58,-7.88,7.04,-2.41
