NAME:,test2,,
10.879,-2.67,9.14,1.41
10.924,-1.65,11.1,2.31
10.968,-2.28,11.18,3.1
11.012,-3.02,9.57,3.69
11.057,-5.3,12.98,2.08
11.102,-2.51,14.91,0.04
11.147,-0.94,8.55,-2.51
11.191,0.59,12.4,-0.2
11.236,-1.92,9.41,-0.51
11.281,-1.14,9.61,-0.78
11.324,0.59,8.32,0
11.367,-0.04,7.92,0.04
11.411,-0.94,8.47,0.59
11.455,-0.27,8.71,1.37
11.499,-0.16,7.92,2.04
11.542,-0.12,8.39,3.14
11.585,0.59,8.55,2.59
11.63,-0.94,11.89,4.55
11.674,-1.1,8.83,5.49
11.717,1.33,11.77,3.73
11.761,2.31,19.26,0.35
11.806,-1.37,5.49,-2.51
11.851,-2.86,9.65,-3.18
11.896,0.86,10.4,-0.51
11.939,2.12,7.81,-0.2
11.983,-1.02,9.41,0.31
12.027,-0.94,9.14,0.59
12.071,-1.57,9.89,0.98
12.114,-0.55,9.53,2.04
12.158,-1.18,9.02,2.12
12.202,-1.02,8.32,1.73
12.246,-2.04,8.39,1.41
12.29,-1.69,10.32,2.16
12.335,-2.04,10.16,2.08
12.38,-1.96,10.16,4.16
12.425,-4.31,10.43,2.67
12.469,-4.79,14.98,0.35
12.514,0.55,14.16,-0.16
12.559,-1.8,8.2,-2.31
12.603,0.47,12.59,1.1
12.648,-1.69,9.1,-0.27
12.693,-1.02,10.24,-0.27
12.736,0.27,7.69,0.12
12.779,0.04,7.85,0.24
12.823,-1.57,8.75,1.18
12.866,-0.2,8.16,1.84
12.909,0,8.08,2.16
12.953,-0.2,7.92,2.39
12.997,-1.02,9.92,2.82
13.041,-1.88,11.3,4.12
13.085,-1.14,9.61,4.63
13.128,0.47,9.02,4.59
13.172,3.26,16.16,2.51
13.216,0.63,16.24,-1.33
13.261,-0.55,5.37,-3.18
13.306,-3.61,15.77,0.75
13.35,0.71,8.08,-1.1
13.393,2.51,8.2,-1.22
13.438,-1.88,10.43,0.51
13.482,-1.18,9.02,1.53
13.526,-1.77,8.83,1.33
13.569,-0.78,8.75,1.73
13.613,-1.1,8.32,1.92
13.657,-1.96,8.43,2.43
13.701,-2.28,9.57,1.96
13.746,-2.55,10.83,2.51
13.789,-2.9,9.49,3.92
13.833,-4.2,9.92,4
13.878,-5.26,14.2,0.12494499
14.362,0.2,8.9,2.59
14.407,-0.71,10.16,2.9
14.452,-1.33,10.04,3.06
14.495,-2.08,9.02,5.3
14.539,1.65,11.89,3.37
14.584,3.73,19.77,-0.39
14.63,-0.43,10.4,-0.51
14.675,-2.2,8.04,-2.43
14.72,-0.31,15.97,-0.35
14.764,3.45,6.98,-0.82
14.809,-0.63,8.12,-0.9
14.853,-1.37,9.73,0.9
14.897,-1.61,8.71,0.63
14.94,-1.73,9.26,1.37
14.984,-1.1,9.26,1.65
15.028,-2.2,8.43,1.84
15.072,-2.24,8.51,1.57
15.116,-2.2,10.2,1.69
15.161,-2.12,10.67,2.79
15.205,-2.35,9.18,3.96
15.25,-5.49,12.12,1.65
15.294,-4.31,15.93,0.63
15.338,0.9,9.77,-3.18
15.383,0.59,12.28,-0.35
15.428,-0.24,11.92,0.16
15.473,-1.26,9.77,-0.2
15.516,-0.04,8.47,0.12
15.56,0.9,7.85,-0.04
15.604,-0.82,8.51,1.1
15.648,-0.94,8.9,1.18
15.691,-0.78,7.77,1.8
15.735,-0.31,8.16,2.71
15.778,0.39,9.22,2.55
15.823,-0.67,10.71,2.79
15.866,-0.55,9.26,4.9
15.91,0.82,10.08,4.71
15.955,3.65,19.97,-0.67
16,-1.65,7.73,-1.33
16.044,-1.45,9.3,-4.71
16.09,-0.51,12.08,-0.71
16.134,3.02,7.88,-0.43
16.178,0.35,8.12,-0.2
16.222,-2,9.22,0.16
16.265,-1.14,9.02,0.43
16.309,-2.08,9.77,1.29
16.353,-0.63,9.53,1.49
16.397,-2,8.87,1.69
16.44,-1.1,8.87,1.45
16.484,-1.69,8.9,1.53
16.528,-1.65,9.85,1.84
16.572,-1.57,9.45,2.43
16.615,-2.28,9.34,3.37
16.66,-3.53,10.16,4.08
16.705,-5.18,13.18,3.69
16.75,-2.31,14.63,3.69
16.794,-0.59,8.94,-2.94
16.839,0.59,11.3,-0.31
16.885,-2.79,11.65,-0.16
16.93,-0.98,10.28,0.94
16.975,-0.51,8.43,-0.04
17.018,-0.16,7.26,0.78
17.062,-0.51,8.24,1.33
17.106,-0.16,8.08,1.61
17.15,-0.43,7.3,2.82
17.192,0.59,7.85,4.35
17.235,0.39,9.06,3.26
17.28,-0.47,12.2,5.1
17.324,-0.98,8,6.55
17.367,2.71,19.1,0.86
17.411,0.24,12.2,0.43
17.455,0.86,7.18,-4.59
17.5,-2.43,13.34,0.55
17.543,1.14,8.43,-1.53
17.586,3.57,8.28,0.12
17.63,-2.39,8.04,0.51
17.674,-0.31,8.9,0.71
17.717,-1.41,9.61,1.22
17.761,-0.71,9.77,2
17.805,-1.1,8.9,1.69
17.849,-1.14,8.12,1.26
17.892,-2.67,8.63,1.37
17.937,-2.04,10.94,2.12
17.982,-1.92,10.83,2.82
18.026,-3.45,9.1,3.77
18.07,-6.12,13.93,1.18
18.115,-4.04,16.79,0
18.16,-1.22,8.59,-1.77
18.205,1.18,12.83,-0.24
18.25,-1.92,8.9,-0.35
18.294,-0.78,9.45,-0.75
18.339,-0.51,7.65,-0.04
18.383,0.59,7.45,-0.04
18.427,-1.22,9.22,1.45
18.47,-0.2,8.55,1.65
18.514,-0.59,7.88,2.59
18.558,-0.67,9.02,3.41
18.602,-0.2,9.18,2.35
18.645,0.31,11.22,5.49
18.689,-1.41,7.92,5.88
18.733,3.92,14.47,1.61
18.778,-0.51,14,0.12
18.822,0.27,4.94,-3.49
18.866,-3.77,15.14,0.35
18.91,0.67,7.57,-1.45
18.954,2.47,8.12,-0.35
18.998,-2.39,8.55,0.24
19.041,-0.55,9.69,1.37
19.085,-0.98,8.67,1.02
19.129,-1.61,8.55,2.04
19.173,-1.57,8.55,1.96
19.216,-1.69,8.67,2.31
19.26,-1.88,8.79,1.53
19.305,-2.67,10.9,2.59
19.35,-2.79,10.43,4.55
19.394,-5.69,12.24,2.00500015
19.837,-1.02,7.69,2.2
19.881,-0.35,8.28,3.41
19.924,1.14,9.02,2.2
19.968,-1.73,11.41,3.77
20.012,-0.86,7.85,6.08
20.055,0.9,9.53,4.86
20.099,3.3,17.46,0.59
20.143,0,13.85,-0.63
20.188,-2.86,7.45,-2.43
20.233,-0.47,15.65,0.31
20.276,3.53,7.34,0.16
20.319,0.04,7.61,-0.71
20.363,-1.73,8.9,1.06
20.407,-0.82,9.38,0.63
20.451,-2.28,9.3,2.24
20.494,-0.43,9.57,1.84
20.538,-1.73,8.75,1.53
20.582,-2.16,8.36,1.41
20.626,-1.57,9.22,0.86
20.67,-1.73,10.67,2.31
20.715,-1.49,10.2,3.22
20.759,-3.26,8.9,3.49
20.804,-4.82,13.26,1.53
20.85,-3.92,16,-0.82
20.892,2.82,8.83,0
20.937,0.71,13.69,-0.67
20.982,-1.18,9.53,-0.35
21.027,-2.82,9.02,-0.51
21.069,0.35,8.2,0.04
21.112,2.12,8.43,0.08
21.156,-0.24,8.24,0.12
21.2,-1.41,9.49,1.53
21.243,-0.08,8.32,1.88
21.286,0.27,7.96,2.47
21.329,0.12,9.02,2.47
21.374,-2.39,10.2,3.73
21.417,-1.88,9.22,4.04
21.461,-0.67,7.96,5.41
21.505,2.47,13.61,3.02
21.55,2.94,20.01,-2.28
21.594,-1.92,3.61,-2
21.639,-2.2,15.97,0.63
21.685,-0.2,10.43,-0.82
21.729,4.82,7.61,-1.14
21.773,-2.9,8.24,0.55
21.816,-0.71,9.18,0.78
21.86,-1.29,9.49,1.61
21.904,-0.78,9.49,2.28
21.948,-1.33,8.63,1.73
21.991,-1.69,7.77,1.8
22.035,-1.65,8.87,1.53
22.08,-2.31,10.79,2.55
22.125,-2.47,10.28,3.1
22.168,-2.79,8.67,3.65
22.214,-5.18,15.06,-0.71
22.26,-1.65,15.97,-1.49
22.305,-0.71,10.47,0.63
22.349,1.96,13.42,0
22.393,-2.24,7.85,-1.26
22.437,0.71,9.02,-0.39
22.481,0.63,8.59,-0.86
22.524,1.22,8,0.47
22.567,-1.61,8.67,0.43
22.611,-0.82,8.98,1.53
22.655,-0.31,8.16,1.69
22.698,0.24,8.55,2.94
22.741,-0.12,9.14,2.24
22.786,-1.29,11.26,3.18
22.83,-1.88,9.1,6.32
22.873,1.29,9.45,4.35
22.916,2.9,19.3,0.24
22.961,1.18,12.4,-2.24
23.006,-3.41,8.98,-1.37
23.052,-0.82,15.53,-0.12
23.095,3.14,6.9,-0.75
23.139,1.26,7.92,-0.86
23.183,-1.96,9.41,0.86
23.227,-1.26,9.18,1.41
23.27,-1.8,9.18,2.12
23.314,-0.27,8.83,1.61
23.358,-1.84,8.67,1.69
23.402,-2.04,8.98,1.65
23.445,-1.45,9.61,1.92
23.489,-1.61,9.81,2.59
23.533,-2.28,9.92,3.8
23.577,-3.02,9.18,3.49
23.623,-4.12,15.22,-0.59
23.668,-0.75,15.49,-0.08
23.712,-1.41,9.81,0.12
23.756,1.88,14.87,0.39
23.801,-1.57,8.36,-1.37
23.845,-2.04,9.06,-0.9
23.888,0.59,6.86,0
23.931,1.49,9.18,0.43
23.975,-0.71,9.45,1.61
24.018,-1.84,8.94,1.92
24.062,-0.16,7.3,2.12
24.105,0.04,7.88,2.59
24.15,-0.63,10.04,2.79
24.194,-1.53,10.2,3.3
24.238,-0.82,9.34,5.02
24.281,0.63,8.51,5.41
24.325,2.08,13.42,3.41
24.369,1.41,20.01,-0.08
24.414,-1.22,4.82,-4.35
24.459,-2.24,11.69,1.02
24.504,0.51,10.47,-0.16
24.548,3.88,6.94,-1.49
24.591,-3.06,8.94,0.39
24.635,-0.63,9.22,1.14
24.679,-1.84,9.1,1.8
24.723,-1.22,9.18,2.31
24.766,-1.53,8.67,2.16
24.81,-1.73,8.32,1.92
24.854,-1.69,8.83,1.65
24.898,-2.12,9.96,2.20505518
25.341,1.49,8.47,0
25.384,0.04,9.26,0.51
25.428,-1.92,9.02,1.84
25.472,-0.75,8.39,1.69
25.514,0.08,7.41,2.55
25.557,0.59,9.14,2.24
25.602,-1.22,10.51,3.33
25.647,-0.55,10,3.92
25.69,-1.53,8,5.3
25.734,1.84,12.71,3.26
25.779,2.39,20.01,-0.9
25.824,-2.28,2.67,-3.14
25.868,-2.51,13.38,1.61
25.912,0.35,9.38,-0.27
25.956,4.24,6.24,-2.12
26,-2.35,9.1,1.29
26.043,-1.06,8.98,1.1
26.087,-1.73,9.22,1.41
26.131,-0.94,9.3,2.43
26.175,-1.26,8.47,2.04
26.218,-2,8.28,1.96
26.262,-1.77,9.3,1.84
26.306,-1.49,9.61,2.35
26.35,-2.55,9.34,3.3
26.393,-2.59,8.9,4.67
26.438,-5.18,12,1.65
26.483,-4.31,15.1,1.41
26.528,2.28,11.34,-3.61
26.572,1.45,13.77,1.61
26.616,-1.41,9.26,-1.37
26.661,-1.8,10.51,0.08
26.705,-0.04,8.24,0.71
26.748,1.26,7.85,0.24
26.792,-0.12,8.12,-0.04
26.836,-2.08,8.75,1.84
26.88,-0.67,9.49,1.88
26.923,0.63,9.1,2.08
26.965,0.27,7.88,2.67
27.009,-0.24,9.41,2.43
27.054,-1.26,10.83,3.26
27.098,-1.53,8.51,4.59
27.14,0.51,9.77,4.31
27.184,2.2,18.16,1.61
27.229,3.92,14.95,-1.06
27.274,-3.57,4.47,-2.35
27.319,-0.04,15.69,-0.86
27.362,1.33,8,0.08
27.406,1.49,8.12,-1.45
27.45,-1.26,9.89,1.18
27.493,-1.57,8.51,0.94
27.537,-1.14,9.96,0.94
27.58,0,9.26,2.16
27.624,-1.96,9.3,1.61
27.667,-2.12,8.43,1.61
27.711,-1.69,9.49,1.53
27.755,-1.29,9.61,1.57
27.799,-1.65,9.45,2.67
27.842,-2.04,9.81,3.61
27.886,-3.06,8.94,3.73
27.931,-5.53,14,1.14
27.977,-0.67,16.91,-0.27
28.022,-2.43,8.28,-0.63
28.065,2.43,14.4,0.98
28.11,-2.47,8.98,-0.75
28.154,-2.47,9.53,0.08
28.199,-0.04,8.28,-0.27
28.241,2.43,7.88,0.78
28.285,-0.94,8.12,0.63
28.329,-1.69,8.39,1.14
28.373,-0.63,7.22,1.73
28.416,-0.16,7.92,2.67
28.46,-0.24,9.53,2.35
28.505,-0.35,11.89,3.69
28.549,-1.18,9.49,5.41
28.591,0.55,9.34,4.55
28.635,1.84,18.55,0.98
28.679,1.26,7.92,-3.06
28.724,-4,9.57,-2.59
28.769,-0.78,16.63,-0.12
28.813,2.75,6,-0.35
28.857,1.45,8.43,-1.41
28.901,-1.73,9.22,1.02
28.944,-1.26,9.1,0.78
28.988,-2.28,9.18,1.18
29.032,-0.08,9.18,1.26
29.076,-1.61,8.9,1.26
29.119,-1.77,8.47,1.41
29.163,-1.49,9.38,1.49
29.208,-2.28,10.43,2.08
29.252,-1.92,9.92,3.57
29.295,-4.12,9.02,3.37
29.341,-5.3,14.75,-0.27
29.386,-1.06,15.61,0.2
29.43,0.16,9.3,-0.82
29.474,1.96,14.04,1.1
29.518,-2.51,9.53,-1.45
29.564,-0.98,10.12,-0.27
29.608,1.1,8.04,-0.2
29.651,0.51,7.77,0.08
29.694,-1.65,8.67,1.49
29.738,-0.75,7.85,1.57
29.782,-0.9,7.18,2.12
29.826,-0.31,8.59,3.22
29.869,-0.39,9.81,2.79
29.914,-0.55,12.94,3.69
29.958,-1.1,8.32,5.77
30.002,2.79,16.36,1.22
30.045,2.28,14.79,1.45
30.089,0.39,9.38,-4.24
30.134,-5.45,13.38,0.04
30.178,1.57,9.92,-1.69
30.22,2.31,8.67,0.24
30.264,-1.88,7.53,0.12
30.308,-0.16,9.18,0.27
30.352,-1.33,9.34,0.78510972
30.527,-1.96,9.22,1.29511146
31.144,0.35,8.67,0.20511764
31.362,-0.27,11.45,3.26
31.406,-1.88,8.47,5.73
31.45,1.49,11.22,3.1
31.494,2.12,20.01,-0.43
31.539,-0.86,4.98,-3.61
31.585,-3.3,11.61,-2.31
31.63,-0.24,8.51,-1.65
31.674,3.61,6.67,-0.71
31.718,-1.22,9.1,-0.2
31.763,-1.26,10,0.9
31.807,-1.37,9.18,1.37
31.851,-1.33,9.3,1.69
31.894,-1.1,8.67,1.29
31.938,-2,8.75,1.45
31.982,-2.35,9.02,1.53
32.026,-1.92,9.96,1.8
32.069,-2.2,9.34,3.06
32.113,-1.57,9.53,3.96
32.158,-5.1,11.06,1.8
32.204,-5.26,17.42,-2.86
32.249,3.96,11.77,-5.92
32.293,-2.39,11.06,1.14
32.337,2.31,12.55,0.16
32.383,-2.12,10.2,-0.75
32.428,-1.33,9.22,-0.08
32.47,1.57,8.83,0.35
32.515,-0.47,8.12,-0.2
32.559,-0.78,7.34,0.86
32.603,-0.67,8.36,1.61
32.645,0.2,8.32,2.16
32.688,0.51,9.38,2.79
32.733,-0.86,10.55,2.98
32.777,-1.1,9.69,4.2
32.82,-1.22,8.71,5.37
32.863,1.61,9.22,4.98
32.907,1.53,18.83,0.67
32.952,0.82,10.36,-1.53
32.996,-3.1,5.41,-2
33.041,0.08,14.04,-0.08
33.084,1.92,8.98,0.67
33.128,1.69,7.37,-0.67
33.171,-1.73,9.26,1.06
33.215,-0.59,8.87,1.77
33.259,-1.61,9.3,2.08
33.303,-0.63,9.06,1.96
33.346,-1.61,8.59,2.28
33.39,-1.84,8.16,1.73
33.434,-1.53,9.85,2.51
33.479,-1.73,10.16,2.39
33.524,-1.65,10.08,3.88
33.567,-2.98,8.75,3.57
33.612,-5.26,12.79,2.20514233
33.744,1.14,13.93,0.82
33.789,-2.86,8.55,-0.98
33.834,-2.86,9.26,-0.24
33.878,0.59,6.86,-0.04
33.921,0.47,7.61,-0.2
33.964,0.12,9.92,1.57
34.008,-1.1,9.65,2.04
34.052,-0.2,7.92,2
34.094,0.31,8.79,3.41
34.138,-0.35,9.53,2.51
34.183,-1.1,10.28,3.18
34.227,-2.28,7.88,5.45
34.269,0.35,8.28,6.08
34.313,3.49,13.81,2.98
34.358,0.51,16.87,-0.2
34.402,0.2,4.08,-2.35
34.446,-3.33,11.41,1.61
34.491,0.86,10.04,-0.2
34.535,3.65,7.53,-1.61
34.579,-3.14,9.65,1.65
34.623,-0.27,9.14,1.18
34.666,-1.49,8.83,2.16
34.71,-0.9,9.02,2.12
34.754,-1.26,7.92,1.84
34.798,-1.69,8.08,2
34.841,-2.28,9.41,1.77
34.886,-1.88,10.75,2.59
34.931,-2.55,10.32,3.57
34.976,-3.92,10.51,2.71
35.021,-5.3,14.67,-1.53
35.066,2.82,15.02,-1.88
35.111,-2.94,9.14,-0.43
35.155,2.67,14.63,1.1
35.2,-1.88,9.1,-1.29
35.244,-1.73,9.02,-0.67
35.287,1.69,7.81,0.04
35.33,0.39,8.32,0.47
35.374,-1.49,8.83,1.61
35.417,-0.9,8.28,2.16
35.461,-0.16,7.34,2.24
35.504,0.43,9.1,2.39
35.549,-0.55,10.16,2.59
35.592,-0.08,9.85,3.41
35.636,-1.8,8.51,5.49
35.68,2.31,10.28,4.43
35.724,3.26,18.91,0.78
35.768,-0.82,7.88,-1.8
35.813,-1.33,8.55,-3.96
35.859,-1.37,11.77,-0.04
35.903,2.82,7.92,-0.55
35.946,0.98,8.47,-0.39
35.99,-1.14,8.75,1.1
36.034,-0.98,8.71,0.78
36.078,-1.22,9.77,1.45
36.121,-1.06,9.06,1.8
36.165,-1.22,8.36,1.77
36.209,-1.53,8.59,1.57
36.253,-1.61,9.53,1.96
36.298,-2.55,10.4,2.43
36.342,-2.47,10.36,3.92
36.386,-4.51,9.96,3.61517008
36.828,-2.24,8.98,2.86
36.87,0.63,7.34,1.84
36.913,0.82,8.47,2.28
36.958,-0.9,10.59,3.61
37.002,-0.71,9.96,3.73
37.045,-1.1,8.71,5.61
37.088,0.86,9.02,4.51
37.132,3.88,16.71,1.06
37.177,0.08,10.98,-3.06
37.221,-2.94,5.41,-2.04
37.267,-0.67,14.67,-1.45
37.31,3.18,6.9,0
37.354,2.98,7.18,-1.57
37.398,-2.04,9.34,1.02
37.441,-1.29,8.71,1.41
37.485,-2.08,8.83,1.8
37.529,-1.1,9.34,1.45
37.573,-2,7.92,1.73
37.616,-2.47,8.75,1.8
37.661,-2.08,10.32,2.75
37.705,-1.65,9.92,2.55
37.749,-2.55,9.45,4.35
37.794,-7.26,12.63,-0.86
37.84,-3.1,18.91,-0.16
37.886,-1.57,10.28,-2.75
37.93,2.63,15.38,0.75
37.974,0.16,9.45,-0.94
38.018,-2.08,9.1,-1.14
38.063,-0.2,7.02,-0.78
38.107,0.59,7.92,-0.63
38.151,-0.94,8.55,0.51
38.194,-1.26,8.75,1.96
38.237,0,8.24,1.29
38.281,-0.16,8.67,2.43
38.324,0.43,9.22,1.84
38.368,-0.51,10.79,3.37
38.412,-1.02,9.85,5.1
38.455,1.26,9.85,4.67
38.5,3.41,19.57,-0.51
38.544,-1.73,6.75,-2.63
38.59,-2.31,10.04,-2.94
38.636,-0.63,12.16,-1.06
38.68,3.18,7.14,-1.1
38.724,0.98,8.2,-0.71
38.767,-0.63,9.41,0.59
38.811,-1.33,8.71,0.94
38.855,-2.16,9.49,1.1
38.899,-0.27,9.45,1.45
38.942,-2.39,8.75,1.88
38.986,-1.8,8.47,1.73
39.03,-1.65,9.02,1.8
39.075,-2.86,10.12,2.47
39.118,-2.43,9.92,3.3
39.162,-4.28,9.38,3.02
39.208,-5.65,15.06,-1.06
39.254,-1.06,15.61,-1.02
39.299,-1.18,9.96,-1.92
39.342,2.39,14.67,0.08
39.387,-2.39,8.36,-0.94
39.432,-0.9,9.92,-0.24
39.476,0.51,7.34,-0.63
39.518,0.71,8.63,0.16
39.562,-0.43,9.22,0.43
39.606,-1.8,8.83,2.12
39.649,0.04,8.12,1.53
39.691,0.16,8.63,2.04
