NAME: ,walk_4_1,,
10.6,2.94,-19.51,-5.85
10.7,1.3,-8.38,-2.49
10.8,0.76,-6.54,-1.8
10.9,-1.19,-7.76,-1.38
11,-0.23,-12.35,-0.42
11.1,4.86,-12.32,-3.4
11.2,3.33,-13.42,-2.87
11.3,1.53,-7.69,-1.64
11.4,0.23,-3.67,-0.27
11.5,1.95,-7.92,0.65
11.6,1.15,-12.24,5.12
11.7,3.82,-2.6,-1.76
11.8,2.14,-9.83,-2.03
11.9,0.65,-8.03,-2.87
12,0.38,-6.73,-1.07
12.1,0.73,-9.83,-2.37
12.2,-0.42,-12.43,-2.37
12.3,5.2,-10.82,-3.9
12.4,2.68,-13.19,-3.06
12.5,1.07,-6.85,-1.3
12.6,0.34,-3.37,0.34
12.7,4.59,-14.99,1.72
12.8,2.72,-12.81,-1.34
12.9,-1.64,-3.37,-3.79
13,1.42,-9.6,-1.19
13.1,0.15,-7.73,-1.49
13.2,0.57,-6.39,-1.57
13.3,1.15,-11.21,-0.96
13.4,2.83,-12.12,-6.35
13.5,2.52,-14.3,-2.52
13.6,2.52,-9.45,-0.38
13.7,1.72,-4.47,-0.54
13.8,1.95,-8.22,0.19
13.9,0.61,-10.98,3.71
14,5.74,-14.84,-2.72
14.1,-0.65,-8.07,-3.33
14.2,1.26,-10.71,-1.8
14.3,1.07,-7.23,-1.7256
14.9,3.79,-6.46,-1.42
15,0.23,-4.7,0.31
15.1,4.28,-10.82,-1.53
15.2,0.61,-13.12,-0.27
15.3,0.38,-5.28,-3.21
15.4,1.26,-10.02,-1.19
15.5,1.87,-4.32,-2.98
15.6,0.61,-6.39,-1.42
15.7,-0.57,-11.36,-1.38
15.8,1.07,-13.73,-4.36
15.9,3.9,-11.4,-3.6
16,1.91,-11.32,-0.96
16.1,0.42,-3.94,-1.64
16.2,1.84,-6.92,2.37
16.3,0,-12.39,6.46
16.4,7.99,-10.9,-0.34
16.5,4.86,-14.69,-6.2
16.6,2.56,-8.53,-2.75
16.7,1.11,-6.73,-0.5
16.8,0.31,-9.94,-1.38
16.9,0.27,-14.72,-2.37
17,4.28,-11.28,-3.33
17.1,0.96,-11.01,-2.37
17.2,0.76,-3.86,-2.18
17.3,0.42,-4.28,1.68
17.4,6.43,-14.3,3.94
17.5,4.74,-14,-1.99
17.6,3.48,-11.86,-2.33
17.7,2.03,-9.45,-1.87
17.8,2.26,-7.11,-3.1
17.9,0.88,-8.18,0.15
18,-0.88,-5.16,0.34
18.1,0.99,-13.96,-2.83
18.2,2.68,-13.77,-2.07
18.3,2.18,-10.71,-0.84
18.4,0,-4.21,-1.84
18.5,1.22,-6.96,1.22
18.6,1.26,-11.21,4.02
18.7,4.63,-10.75,-1.26
18.8,2.14,-16.83,-3.37
18.9,2.14,-8.87,-2.14
19,0.88,-5.78,-1.84
19.1,1.26,-9.64,-2.22
19.2,-0.69,-13.35,-1.53
19.3,3.79,-10.86,-2.18
19.4,2.98,-12.05,-3.29
19.5,1.42,-9.26,-1.45
19.6,0.27,-4.9,-0.69
19.7,1.3,-8.3,-2.64
19.8,1.57,-10.82,2.49
19.9,1.84,-5.74,0.615656
20.6,3.94,-12.09,-2.75
20.7,0.46,-5.85,-0.84
20.8,0,-4.4,1.8
20.9,2.6,-15.49,3.14
21,5.89,-14.53,-2.64
21.1,0.88,-12.47,-3.71
21.2,1.72,-9.22,-2.03
21.3,0.54,-7.5,-1.76
21.4,-1.8,-9.29,-0.96
21.5,0.11,-10.94,-0.54
21.6,0.99,-10.86,-3.67
21.7,2.29,-14.34,-3.75
21.8,1.68,-10.94,-1.84
21.9,0.96,-3.1,-2.33
22,2.26,-6.16,0.88
22.1,-0.5,-13.42,5.12
22.2,8.11,-7.8,-1.49
22.3,3.17,-19.51,-6.08
22.4,1.19,-8.07,-2.29
22.5,0.88,-6.54,-1.53
22.6,-0.84,-9.91,-1.42
22.7,-0.11,-11.51,-0.11
22.8,1.95,-8.99,-3.14
22.9,0.65,-13.85,-2.26
23,1.45,-10.79,-1.07
23.1,1.26,-4.86,-1.38
23.2,1.91,-7.99,-0.19
23.3,-1.49,-8.95,3.94
23.4,1.87,-17.52,-2.68
23.5,-0.11,-16.6,-3.79
23.6,-0.99,-11.13,-2.03
23.7,-1.26,-8.53,-4.21
23.8,0.42,-9.1,-4.13
23.9,-0.61,-9.64,-3.1
24,1.22,-11.59,-4.13
24.1,1.95,-11.09,-4.17
24.2,3.37,-10.48,-2.94
24.3,1.84,-5.93,-2.22
24.4,2.49,-6.77,0.19
24.5,-0.92,-11.67,0.08
24.6,2.56,-14,-0.19
24.7,3.02,-4.9,-1.61
24.8,2.07,-7.27,-1.38
24.9,-0.54,-8.61,-2.6
25,-1.15,-9.22,-1.49
25.1,1.68,-8.83,-2.03
25.2,0.04,-11.44,-0.88
25.3,1.42,-11.97,-5.35
25.4,2.14,-13.85,-3.6
25.5,1.87,-7.65,-1.45
25.6,1.22,-3.6,-1.95
25.7,1.49,-8.53,0.46
25.8,0.88,-11.97,0.085715
26.3,-0.73,-11.7,-0.73
26.4,3.6,-11.47,-3.75
26.5,3.79,-14.27,-3.29
26.6,1.84,-7.8,-2.83
26.7,0.69,-2.72,-1.45
26.8,2.14,-10.1,-0.61
26.9,-0.38,-10.9,3.29
27,2.33,-3.4,-2.64
27.1,1.8,-8.72,-2.33
27.2,0.31,-8.41,-2.18
27.3,0.23,-7.11,-1.76
27.4,1.53,-11.01,-2.49
27.5,-0.38,-11.82,-3.33
27.6,3.86,-12.54,-4.25
27.7,3.4,-10.02,-1.87
27.8,0.84,-5.24,-0.73
27.9,0.11,-5.55,0.65
28,1.57,-13.19,2.52
28.1,4.25,-4.13,0.31
28.2,3.14,-13.08,-2.87
28.3,0.84,-8.61,-3.37
28.4,0.38,-6.88,-1.38
28.5,-1.19,-9.41,-1.95
28.6,1.72,-11.47,-0.84
28.7,2.33,-13.12,-3.37
28.8,2.98,-12.39,-3.02
28.9,1.57,-7.46,-1.99
29,1.38,-5.01,-1.95
29.1,1.07,-8.53,0.88
29.2,0.99,-13.5,4.67
29.3,4.7,-9.68,-4.67
29.4,1.19,-17.06,-2.22
29.5,1.45,-7.65,-2.83
29.6,0.31,-6.77,-2.18
29.7,0.8,-10.9,-2.26
29.8,2.14,-13.65,-3.56
29.9,3.98,-10.79,-4.32
30,2.14,-11.28,-0.8
30.1,1.26,-4.78,-1.72
30.2,1.38,-6,1.76
30.3,2.72,-14.04,4.25
30.4,6.04,-9.26,-0.73
30.5,1.34,-15.3,-3.48
30.6,1.03,-7.88,-2.22
30.7,0.92,-7.3,-1.87
30.8,-0.57,-9.6,-2.29
30.9,-0.19,-12.32,-0.73
31,5.01,-12.16,-4.44
31.1,2.1,-12.62,-2.07
31.2,2.14,-7.27,-1.91
31.3,0.8,-4.25,-0.69577
32,0.27,-11.93,-0.42
32.1,2.94,-11.28,-3.63
32.2,2.56,-13.23,-3.02
32.3,2.72,-8.64,-2.26
32.4,0.61,-4.09,-0.54
32.5,0.04,-9.71,0.61
32.6,0.23,-10.36,4.21
32.7,2.98,-4.7,-1.95
32.8,0.8,-10.02,-1.34
32.9,0.73,-7.5,-2.07
33,0.76,-7.46,-2.33
33.1,0.57,-10.02,-1.53
33.2,-0.15,-14.15,-3.98
33.3,3.9,-11.32,-4.13
33.4,1.99,-9.91,-2.45
33.5,1.38,-5.05,-2.45
33.6,1.11,-5.66,1.8
33.7,1.15,-16.33,5.58
33.8,5.39,-7.76,-1.15
33.9,1.42,-18.78,-3.21
34,0.99,-7.96,-2.49
34.1,0.5,-6.81,-1.49
34.2,-0.23,-9.41,-1.38
34.3,0.34,-12.01,-1.22
34.4,4.97,-11.55,-4.05
34.5,2.72,-13.65,-3.37
34.6,1.34,-7.61,-1.34
34.7,1.19,-3.29,-0.23
34.8,1.38,-13.23,-0.65
34.9,0.34,-12.28,1.11
35,1.19,-2.33,-2.75
35.1,1.76,-8.03,-0.92
35.2,0.57,-7.8,-2.41
35.3,0.54,-7.3,-1.19
35.4,0,-10.36,-0.54
35.5,4.21,-11.86,-5.05
35.6,2.33,-13,-3.71
35.7,1.95,-8.68,-2.18
35.8,1.11,-4.05,-0.92
35.9,1.15,-8.18,1.72
36,-0.27,-11.4,4.44
36.1,4.25,-6.58,-0.08
36.2,2.14,-11.09,-1.22
36.3,1.3,-8.45,-3.4
36.4,0.8,-7.69,-1.03
36.5,0,-9.29,-1.3
36.6,0.84,-13.85,-3.29
36.7,4.21,-10.48,-4.21
36.8,3.25,-12.43,-2.94
36.9,1.07,-6.31,-2.03
37,0.57,-3.9,0.005827
37.7,0.5,-12.09,-0.34
37.8,0.8,-7.96,-3.14
37.9,1.76,-15.3,-2.49
38,0.99,-11.86,-1.19
38.1,0.61,-4.78,-2.41
38.2,1.49,-7.5,-0.31
38.3,-0.73,-7.53,3.79
38.4,-0.11,-6.69,-1.84
38.5,-0.31,-14.65,-3.63
38.6,0.5,-8.22,-2.41
38.7,1.99,-7.57,-3.67
38.8,0.57,-6.96,-3.02
38.9,1.8,-9.26,-3.02
39,1.72,-13.23,-4.86
39.1,1.91,-13.42,-4.59
39.2,2.49,-10.25,-2.91
39.3,1.57,-4.17,0.54
39.4,2.26,-6.04,0.15
39.5,-2.1,-9.56,4.28
39.6,5.58,-10.71,2.49
39.7,2.64,-12.51,-2.79
39.8,2.1,-8.03,-2.22
39.9,1.26,-4.78,-2.56
40,0.34,-8.22,-1.11
40.1,-0.19,-11.63,-1.64
40.2,8.38,-13.88,-7.38
40.3,4.13,-13.62,-3.33
40.4,1.34,-5.89,-0.73
40.5,-0.5,-4.44,0.27
40.6,4.21,-8.53,0.88
40.7,1.07,-9.94,1.68
40.8,0.92,-4.51,0.54
40.9,3.1,-10.25,-2.45
41,-0.42,-8.49,-2.91
41.1,-0.42,-9.33,-0.19
41.2,0.65,-10.14,-1.11
41.3,1.15,-13.08,-5.2
41.4,4.28,-11.82,-4.13
41.5,2.33,-10.94,-2.18
41.6,1.15,-4.9,-1.76
41.7,1.53,-5.47,2.37
41.8,2.83,-15.91,5.09
41.9,4.78,-6.2,0.5
42,2.45,-10.1,-1.61
42.1,0.8,-9.33,-2.45
42.2,0.27,-7.27,-1.26
42.3,-0.11,-8.95,-2.26
42.4,0.34,-11.47,-1.15
42.5,5.28,-12.09,-4.365882
42.7,1.76,-6.69,-1.91
42.8,0.61,-3.44,-0.345885
43.4,-0.04,-7.38,-0.54
43.5,0.88,-10.44,-1.99
43.6,0.54,-12.93,-5.55
43.7,4.44,-11.93,-4.32
43.8,1.91,-11.21,-2.03
43.9,1.22,-5.12,-1.87
44,0.76,-5.74,2.26
44.1,1.03,-15.83,5.85
44.2,6.39,-14.07,-4.05
44.3,3.17,-19.51,-3.29
44.4,1.11,-7.69,-1.8
44.5,1.07,-8.03,-1.91
44.6,-0.38,-9.06,-2.49
44.7,1.34,-10.59,-1.42
44.8,1.53,-11.4,-5.16
44.9,4.02,-12.7,-4.9
45,1.68,-10.14,-2.14
45.1,1.15,-4.55,-1.57
45.2,1.15,-6.5,3.21
45.3,-0.76,-12.43,4.74
45.4,4.17,-6.96,0.42
45.5,3.25,-11.97,-1.95
45.6,0.38,-8.68,-2.18
45.7,1.07,-8.41,-0.76
45.8,0,-9.71,-1.91
45.9,1.03,-10.75,-1.91
46,0.65,-10.56,-3.37
46.1,1.68,-13.65,-3.4
46.2,2.98,-9.87,-1.26
46.3,1.19,-3.9,-1.84
46.4,2.37,-8.26,0
46.5,0.92,-13.46,3.71
46.6,4.02,-14.95,-3.94
46.7,1.26,-12.24,-2.52
46.8,0.61,-7.69,-1.45
46.9,1.3,-7.57,-1.64
47,-2.26,-9.29,-0.46
47.1,2.52,-10.17,-2.64
47.2,1.64,-11.01,-4.67
47.3,1.57,-16.52,-1.76
47.4,2.68,-5.74,-0.61
47.5,1.11,-5.43,-0.08
47.6,0.99,-13.46,-1.99
47.7,5.16,-14.8,-1.53
47.8,1.64,-10.48,-3.4
47.9,1.68,-8.45,-3.25
48,-0.15,-7.61,-1.76
48.1,-2.18,-9.71,-0.42
48.2,1.68,-9.37,-1.42
48.3,1.95,-11.17,-4.78
48.4,4.28,-12.62,-5.125941
49.1,-0.99,-10.02,-2.75
49.2,-0.11,-8.18,-1.07
49.3,-1.61,-8.76,-0.8
49.4,0.5,-9.6,0.23
49.5,1.45,-14.95,-5.39
49.6,0.73,-12.7,-3.9
49.7,1.15,-10.9,-2.18
49.8,1.07,-5.55,-3.25
49.9,1.26,-7.65,-1.72
50,0.34,-9.79,0.92
50.1,-0.15,-13.85,-0.69
50.2,0.99,-9.1,-3.06
50.3,2.37,-10.75,-2.07
50.4,0.65,-8.72,-2.6
50.5,1.68,-8.76,-1.84
50.6,0.69,-9.45,-1.49
50.7,-0.65,-13.04,-3.52
50.8,2.41,-10.67,-3.56
50.9,1.26,-12.09,-2.64
51,1.87,-6.77,-2.6
51.1,2.33,-7.27,-0.96
51.2,0.73,-10.56,1.95
51.3,1.11,-16.25,-4.09
51.4,-0.08,-12.32,-2.87
51.5,0.61,-9.41,-1.76
51.6,1.26,-7.84,-2.87
51.7,1.49,-7.53,-2.1
51.8,-0.31,-10.25,-2.29
51.9,1.11,-12.47,-5.05
52,3.1,-11.51,-3.52
52.1,2.72,-10.33,-2.79
52.2,1.34,-5.55,-2.33
52.3,1.72,-6.88,0.31
52.4,1.19,-12.2,3.06
52.5,3.82,-16.64,-4.02
52.6,-0.96,-7.08,-2.68
52.7,2.1,-9.41,-1.64
52.8,1.8,-6.35,-3.25
52.9,0.84,-8.41,-1.42
53,0.31,-9.87,-2.6
53.1,4.93,-12.24,-4.4
53.2,6.85,-11.86,-3.63
53.3,1.8,-8.72,-2.14
53.4,3.44,-4.93,-1.84
53.5,3.33,-10.44,-1.68
53.6,4.02,-8.18,-2.18
53.7,4.67,-8.49,-2.45
53.8,4.4,-7.69,-2.83
53.9,4.7,-12.89,-5.32
54,1.57,-11.4,-1.19
54.1,1.22,-9.83,-2.685998
54.8,1.95,-7.04,-1.99
54.9,2.14,-7.73,-1.61
55,-0.19,-9.45,1.22
55.1,0.65,-15.37,-3.21
55.2,0.61,-12.2,-2.6
55.3,2.52,-9.87,-2.33
55.4,0.99,-7.42,-2.14
55.5,0.88,-6.85,-1.34
55.6,-1.11,-11.7,-1.26
55.7,2.52,-11.4,-5.05
55.8,2.72,-10.63,-3.44
55.9,2.6,-10.25,-2.41
56,1.72,-5.32,-1.53
56.1,1.45,-6.54,1.64
56.2,1.26,-12.35,3.9
56.3,5.05,-7.84,0.31
56.4,3.44,-18.7,-3.94
56.5,0.11,-9.56,-2.1
56.6,1.49,-6.88,-1.49
56.7,0.11,-10.36,-1.68
56.8,0.04,-10.63,-1.07
56.9,2.52,-11.24,-3.4
57,4.63,-11.97,-2.94
57.1,2.41,-10.48,-1.87
57.2,2.03,-4.28,-1.8
57.3,0.84,-7.38,1.3
57.4,1.64,-11.89,3.67
57.5,4.21,-11.55,-1.3
57.6,4.74,-16.25,-5.81
57.7,0.19,-11.36,-2.98
57.8,0.73,-6.77,-1.38
57.9,1.8,-4.82,-0.38
58,4.63,-13.58,1.84
58.1,1.99,-9.87,-1.61
58.2,2.33,-8.26,-0.84
58.3,1.57,-9.87,-0.69
