NAME: ,team10 run4,,
6.9,-4.44,15.34,-6.16
7,0.73,0.42,0.11
7.1,-5.93,2.1,1.38
7.2,7.38,19.51,2.07
7.3,4.09,14.88,-6.5
7.4,-5.89,-5.16,0.27
7.5,0.69,1.95,-0.69
7.6,-10.71,8.26,-2.29
7.7,-8.61,19.51,-5.93
7.8,0.54,0.46,0.92
7.9,-0.84,0.73,-1.72
8,7.5,19.51,-2.18
8.1,1.87,13.16,-4.36
8.2,-2.83,-3.71,-2.94
8.3,1.38,4.97,-1.95
8.4,-7.61,10.48,-2.49
8.5,-5.43,16.45,-3.79
8.6,0,1.53,-0.11
8.7,-1.26,0.5,2.37
8.8,4.51,19.51,1.577625
9.4,1.19,1.42,1.6876256
9.7,2.6,18.82,-7.27
9.8,-2.75,-3.94,-2.94
9.9,-3.52,5.01,4.67
10,-3.37,10.06,-0.57
10.1,-11.01,19.51,-5.58
10.2,3.71,2.94,0.34
10.3,-1.03,-0.23,-2.83
10.4,5.66,19.51,3.33
10.5,3.25,19.51,-8.91
10.6,-6.12,-1.76,0.04
10.7,3.4,0.61,-0.19
10.8,-10.94,7.46,-1.72
10.9,-5.2,19.51,-8.91
11,0.96,3.67,-1.19
11.1,0.31,-0.42,-2.91
11.2,9.29,19.12,3.75
11.3,0.42,19.51,-8.22
11.4,-4.36,-0.65,-1.3
11.5,4.82,-2.6,-2.6
11.6,-13.92,14.38,-4.55
11.7,4.78,17.86,-8.53
11.8,0.11,3.44,-2.07
11.9,2.1,3.14,-1.57
12,2.72,15.53,5.7
12.1,0,19.51,-8.38
12.2,-3.52,0.42,-5.05
12.3,3.44,-0.23,-2.87
12.4,-9.14,19.51,-6.73
12.5,2.41,19.51,-6.69
12.6,-0.69,8.11,-2.52
12.7,-0.96,2.83,-0.88
12.8,-2.07,19.51,0.99
12.9,-0.84,19.51,-11.55
13,0.46,2.87,-3.33
13.1,1.99,-2.49,-3.37
13.2,8.49,14.04,-3.25
13.3,1.03,10.29,-3.71
13.4,-2.98,10.56,-4.59
13.5,-0.08,3.21,0.08
13.6,-0.88,0.65,-0.57
13.7,8.61,19.2,-2.91
13.8,-0.38,18.55,-8.38
13.9,-2.52,-2.68,-1.45
14,0.76,1.38,-1.4576302
14.2,-4.59,19.51,-9.94
14.3,0,3.48,-4.13
14.4,-0.57,0.23,-2.45
14.5,9.98,19.51,1.1976307
14.7,-5.55,-5.47,-0.92
14.8,3.67,0.5,0.99
14.9,19.51,19.51,-19.51
15,16.87,19.51,-8.2276312
15.3,-6.62,19.51,8.8076315
15.5,1.03,0.99,-5.2
15.6,1.34,-1.84,-0.99
15.7,4.82,12.05,-3.14
15.8,7.27,13,-7.53
15.9,-1.61,8.87,-3.37
16,-1.76,2.83,3.02
16.1,0.19,-1.45,-1.76
16.2,5.62,19.51,-3.14
16.3,3.4,19.51,-6.58
16.4,-0.92,-0.31,-1.84
16.5,1.76,1.91,-3.9
16.6,-12.89,18.66,-5.55
16.7,2.56,19.01,-10.02
16.8,-2.14,3.94,-2.07
16.9,2.91,3.98,-2.1
17,-1.26,13.35,4.9
17.1,2.22,19.51,-10.79
17.2,-0.34,0.46,-5.43
17.3,0.73,-1.72,-2.52
17.4,-7.27,13.42,-2.6
17.5,-6.2,19.51,-9.14
17.6,3.86,5.51,-3.56
17.7,0.34,0.15,-3.17
17.8,6.73,18.74,6.69
17.9,4.28,19.51,-9.03
18,-6.62,-1.8,-1.45
18.1,1.68,2.83,-1.26
18.2,-9.6,7.3,-2.52
18.3,-5.05,19.51,-11.47
18.4,2.29,3.33,-4.21
18.5,1.8,2.41,-2.1
18.6,2.79,16.25,5.62
18.7,2.07,19.2,-8.64
18.8,-6.27,-2.94,1.26
18.9,3.48,3.98,-3.29
19,-7.69,13.69,-1.91
19.1,-6.12,19.51,-7.38
19.2,0.96,2.91,-1.99
19.3,-0.34,1.76,-1.99
19.4,6.54,17.52,1.68
19.5,-0.46,19.51,-9.06
19.6,-2.87,1.57,-5.16
19.7,0.42,2.07,-2.03
19.8,-14.95,19.51,-5.35
19.9,0.54,18.86,-9.22
20,0.08,5.28,-3.02
20.1,2.94,2.94,-3.52
20.2,0.38,12.47,1.0776364
20.6,6.58,13.81,-11.78
20.7,2.75,17.63,-7.65
20.8,-2.72,10.17,-1.61
20.9,-0.31,1.38,2.07
21,-2.6,1.68,5.09
21.1,3.25,19.51,-4.67
21.2,5.16,17.94,-6.16
21.3,-0.57,-0.15,-4.55
21.4,1.84,2.45,-3.17
21.5,-8.57,3.67,-1.57
21.6,-7.3,16.64,-6.43
21.7,0.54,4.44,-3.82
21.8,-2.52,1.34,0.19
21.9,7.38,19.51,0.73
22,1.38,19.51,-7.99
22.1,-2.91,-2.83,-3.63
22.2,1.15,3.86,-0.54
22.3,-7.61,7.76,-2.68
22.4,-7.61,19.51,-7.73
22.5,0.99,2.18,-3.52
22.6,0.8,1.42,-2.07
22.7,6.54,19.51,1.57
22.8,-1.15,19.51,-9.03
22.9,-3.33,-2.1,-4.55
23,3.29,4.55,-1.61
23.1,-10.21,11.21,0.31
23.2,-0.69,19.51,-11.89
23.3,0.23,4.44,-2.87
23.4,-1.3,1.03,-0.92
23.5,-3.82,19.51,2.52
23.6,2.18,19.47,-5.35
23.7,-0.69,6.5,-5.66
23.8,-1.07,-3.94,-3.25
23.9,7.69,4.9,16.56
24,-4.86,14.95,-5.09
24.1,-3.33,8.72,1.42
24.2,-0.23,0.38,-0.84
24.3,-4.93,2.79,3.79
24.4,2.07,19.24,0.34
24.5,2.45,12.77,-5.81
24.6,-1.91,-1.19,-0.92
24.7,2.52,4.97,14.46
24.8,-7.76,11.63,-1.3
24.9,-5.62,17.75,-9.48
25,-2.03,2.94,1.42
25.1,-0.73,0.08,-1.68
25.2,6.81,19.51,0.88
25.3,6.31,19.51,-6.69
25.4,-4.21,-2.98,0.27
25.5,2.37,-0.15,-3.7576417
25.9,3.98,3.86,-2.68
26,-0.92,18.51,4.13
26.1,2.64,19.51,-8.3
26.2,-5.09,0.46,-0.84
26.3,0.76,-3.94,-0.27
26.4,-10.79,16.83,-6.69
26.5,-1.45,19.51,-10.36
26.6,0.27,5.12,-3.56
26.7,-1.07,2.22,-2.29
26.8,3.67,13.69,2.07
26.9,-0.38,19.51,-8.53
27,0.46,-2.75,-4.97
27.1,1.07,0.23,-2.07
27.2,-7.11,17.17,-4.09
27.3,2.83,19.16,-9.56
27.4,0.61,6.23,-4.05
27.5,0.61,3.02,-1.07
27.6,-6.2,19.51,5.62
27.7,1.15,18.93,-6.23
27.8,0.23,1.38,-3.63
27.9,-1.91,-0.73,-4.21
28,11.05,19.51,-10.25
28.1,1.91,19.51,-6.5
28.2,-2.37,7,-2.64
28.3,-0.57,4.86,-1.38
28.4,-4.51,19.51,3.44
28.5,-2.79,18.01,-5.55
28.6,0.61,2.68,-3.6
28.7,-1.19,-0.11,-3.94
28.8,12.7,19.51,-3.9
28.9,1.22,19.51,-5.24
29,-2.1,13.88,-6.23
29.1,0.73,2.1,-0.34
29.2,-0.11,0.5,0.61
29.3,6.5,19.51,1.3
29.4,3.21,18.47,-5.74
29.5,-4.97,1.61,-1.68
29.6,3.06,0.34,-4.93
29.7,-5.62,12.2,-10.21
29.8,-1.61,19.51,-9.37
29.9,0.92,1.99,-1.57
30,0.19,1.45,-1.34
30.1,-4.36,19.51,9.48
30.2,1.34,18.24,-5.74
30.3,0.69,9.03,-6.08
30.4,-0.23,-1.99,-3.98
30.5,3.25,13.58,-6.85
30.6,0.31,14.61,-1.3
30.7,-3.48,11.28,-2.52
30.8,0,2.98,-0.15
30.9,-1.87,0.69,0.3176471
31.4,-2.94,11.82,-2.64
31.5,-7,15.6,-4.5576477
31.7,1.34,-0.27,-3.3376479
31.9,-1.07,19.51,-7.3076481
32.1,1.76,3.56,-1.53
32.2,-14.92,14.15,-4.25
32.3,0.84,19.51,-12.74
32.4,0.57,3.75,-2.07
32.5,-0.61,3.6,-1.34
32.6,-10.17,19.51,7.84
32.7,-0.65,18.78,-5.05
32.8,1.34,1.26,-5.89
32.9,-1.19,0.46,2.87
33,9.18,18.66,-2.75
33.1,6.27,15.26,-3.94
33.2,-3.75,8.61,-1.03
33.3,-1.68,1.15,0.96
33.4,0.65,-0.04,-3.37
33.5,4.67,19.51,-3.25
33.6,1.87,17.06,-6.08
33.7,-3.94,-0.96,0.27
33.8,1.72,2.18,-6.16
33.9,-4.74,14,-4.86
34,-1.19,19.51,-10.82
34.1,-2.56,3.21,0.27
34.2,2.98,1.95,-1.61
34.3,-0.11,19.51,-1.19
34.4,-1.15,18.89,-4.55
34.5,2.29,8.38,-4.17
34.6,-0.5,-1.72,-3.86
34.7,1.15,19.24,-3.02
34.8,6.04,19.51,-6.23
34.9,1.22,7.11,-2.45
35,-1.15,2.87,0.96
35.1,-1.91,3.63,7.69
35.2,0.31,19.39,-2.64
35.3,3.33,8.57,-6.62
35.4,-1.07,-4.28,-3.52
35.5,6.5,5.28,2.98
35.6,-1.87,7.08,-3.71
35.7,-2.26,12.93,-6.08
35.8,0.99,3.48,-1.72
35.9,-2.64,1.38,0.69
36,4.44,17.98,1.03
36.1,1.99,15.8,-7.04
36.2,-0.31,-5.2,-4.67
36.3,2.68,12.7,1.26
36.4,0.08,12.2,-1.57
36.5,-9.48,11.55,-5.47
36.6,1.15,3.4,-3.33
36.7,-3.48,1.8,1.19
36.8,7.34,19.51,0.04
36.9,2.41,16.98,-6.2776531
37.3,-4.05,19.51,-9.45
37.4,-0.46,4.09,-4.47
37.5,-0.46,2.91,-0.61
37.6,-0.15,19.51,4.36
37.7,-0.31,18.78,-4.93
37.8,2.72,4.86,-3.94
37.9,0.92,-2.45,-2.68
38,4.09,19.51,-3.14
38.1,5.28,19.47,-4.51
38.2,-1.26,10.52,-1.91
38.3,-1.11,1.84,0.65
38.4,1.26,8.15,6.31
38.5,3.1,19.31,-0.34
38.6,1.95,6.39,-3.71
38.7,1.19,-3.37,-1.87
38.8,6.39,7.53,2.07
38.9,1.38,14.46,-1.91
39,-5.05,11.09,-3.9
39.1,0.27,3.37,-2.26
39.2,0.23,0.23,-1.87
39.3,5.05,19.51,-7.08
39.4,-0.57,19.51,-6.46
39.5,0.23,-0.23,-2.45
39.6,-2.56,0,-1.3
39.7,-8.41,19.51,5.09
39.8,-0.92,19.51,-9.29
39.9,-2.72,8.38,-4.44
40,-4.13,1.99,0.19
40.1,3.02,6.92,-2.41
40.2,-4.51,16.56,-4.36
40.3,0.99,4.09,-3.37
40.4,-0.34,-5.28,-0.84
40.5,18.51,19.51,-9.91
40.6,6.73,19.51,-8.76
40.7,-0.15,7.76,-3.06
40.8,-2.07,2.22,0.04
40.9,-0.19,7.27,8.61
41,3.25,18.21,-2.49
41.1,0.96,3.67,-2.33
41.2,0.73,-1.91,-1.53
41.3,12.24,19.51,-4.97
41.4,8.22,18.89,-1.99
41.5,-2.72,10.06,-3.17
41.6,0.19,3.4,1.11
41.7,-1.45,3.1,0.96
41.8,5.93,19.51,-0.76
41.9,1.57,14.61,-4.63
42,-1.76,-4.32,-3.1
42.1,-1.64,0.73,1.8
42.2,-5.09,14,-2.72
42.3,-3.82,10.59,-5.5176585
42.6,5.62,19.51,0.19
42.7,0.27,15.22,-6.08
42.8,-1.68,-5.09,-1.99
42.9,-0.11,7.99,8.64
43,-5.01,11.97,-2.37
43.1,-4.82,13.12,-3.33
43.2,0.46,0.8,-3.1
43.3,-3.33,2.87,0.76
43.4,7.88,19.51,2.75
43.5,3.4,19.51,-7.76
43.6,-1.49,-4.02,-3.86
43.7,-0.08,5.47,-4.93
43.8,-6.04,-0.96,0.92
43.9,-4.17,19.51,-7.3
44,-0.65,5.32,-4.74
44.1,-1.03,1.42,0.34
44.2,3.6,18.55,-0.19
44.3,-3.56,19.51,-6.65
44.4,-1.8,-0.42,-4.47
44.5,0,-1.07,-0.8
44.6,-4.55,19.51,2.1
44.7,2.87,19.51,-9.45
44.8,-2.1,7.76,-2.18
44.9,-1.99,1.26,-0.31
45,-0.08,17.36,4.9
45.1,-3.52,19.51,-5.7
45.2,-3.14,1.07,-3.63
45.3,1.3,-2.56,-0.69
45.4,-9.64,19.51,-8.83
45.5,1.76,19.51,-8.22
45.6,-2.1,10.79,-3.25
45.7,-1.19,3.06,-0.84
45.8,1.11,6.92,1.49
45.9,2.83,19.51,-1.26
46,0.31,10.82,-4.28
46.1,-2.87,-4.93,-1.11
46.2,3.94,10.1,-6.23
46.3,1.84,10.98,-4.82
46.4,-1.53,6.65,-3.33
46.5,1.53,1.84,2.52
46.6,-0.42,9.91,6.35
46.7,1.15,19.51,-2.91
46.8,2.49,5.01,-2.64
46.9,2.18,-4.05,-2.07
47,10.06,12.66,-6.35
47.1,4.13,15.95,-0.65
47.2,-6.12,10.59,-3.94
47.3,1.84,5.43,-2.26
47.4,2.6,1.68,-3.63
47.5,9.22,16.71,-1.6176637
47.7,-0.23,0.46,-4.02
47.8,-0.73,-0.65,7.11
47.9,9.48,19.54,-6.35
48,11.7,17.9,-6.46
48.1,-1.22,5.28,-5.81
48.2,-2.07,0.84,-2.68
48.3,0.46,14.92,10.79
48.4,-1.53,16.79,-2.14
48.5,1.95,7.5,-5.58
48.6,1.22,-3.25,-1.84
48.7,0.15,1.84,10.67
48.8,0.27,11.17,-1.07
48.9,-7.65,9.64,-1.3
49,-1.15,4.7,-4.7
49.1,-0.76,2.64,-1.34
49.2,6.69,19.51,-1.03
49.3,0.96,19.24,-5.89
49.4,-1.3,-0.88,-2.87
49.5,-0.54,-0.11,-2.6
49.6,-6.46,9.45,-2.45
49.7,-5.97,19.24,-7.53
49.8,1.11,3.82,-4.36
49.9,-0.92,2.68,-0.84
50,-0.5,14.84,3.02
50.1,-1.72,18.74,-6.88
50.2,1.22,2.49,-6.46
50.3,-1.42,0.31,-1.11
50.4,7.19,19.51,-3.29
50.5,5.74,19.51,-6.12
50.6,-0.46,5.2,-1.53
50.7,1.91,2.72,1.26
50.8,0.04,6.35,5.47
50.9,4.63,17.44,-1.03
51,1.91,8.03,-5.81
51.1,-0.15,-2.91,-3.1
51.2,3.52,8.72,-4.9
51.3,0.57,14,-3.6
51.4,-3.75,9.6,-6
51.5,0.15,2.26,-1.57
51.6,-1.34,1.8,-1.11
51.7,4.21,19.51,-1.3
51.8,1.03,14.27,-6.04
51.9,-0.76,-3.98,-3.02
52,7.34,11.97,1.15
52.1,-2.22,14.84,-1.8
52.2,-3.1,8.22,-4.21
52.3,0.38,2.45,0.61
52.4,-2.45,1.26,1.34
52.5,4.4,19.51,-0.69
52.6,2.03,10.98,-5.1276688
53,-10.36,16.45,-3.67
53.1,0.8,4.51,-5.09
53.2,-1.72,2.22,-2.26
53.3,-0.69,19.51,3.37
53.4,-3.14,19.51,-8.41
53.5,-0.76,3.52,-4.21
53.6,-0.54,-3.75,-2.87
53.7,-2.49,19.51,-1.95
53.8,4.32,19.51,-7.65
53.9,-2.98,10.02,-4.4
54,-2.1,0.96,-1.34
54.1,2.83,14.95,3.48
54.2,-2.56,17.36,-7.88
54.3,-0.65,3.21,-4.74
54.4,-0.15,-2.45,-1.22
54.5,14.53,19.51,-6.27
54.6,4.32,19.51,-7.15
54.7,-3.63,10.71,-3.4
54.8,1.95,3.52,-1.42
54.9,1.87,13.88,3.75
55,1.11,17.98,-0.88
55.1,3.75,8.8,-5.39
55.2,-1.38,-5.16,0.92
55.3,5.35,7.76,-5.12
55.4,4.67,14.57,0.11
55.5,-6.62,11.32,-4.9
55.6,-0.99,4.97,-4.67
55.7,-2.68,1.57,1.68
55.8,8.26,17.25,1.11
55.9,-0.38,18.63,-8.3
56,-1.57,0.08,-5.97
56.1,-0.76,1.84,-1.07
56.2,-8.26,7.27,-3.17
56.3,-5.58,19.51,-7.23
56.4,2.79,3.4,-4.02
56.5,-0.27,1.57,-1.91
56.6,1.64,13.54,3.71
56.7,-1.49,17.98,-8.72
