NAME: ,run_2_2,,
16.5,13.39,-19.51,-0.54
16.6,2.98,-9.83,4.44
16.7,0,0.11,4.55
16.8,5.89,-14.61,-1.68
16.9,6.04,-19.51,0.88
17,6.16,3.48,-0.08
17.1,1.19,-1.99,-4.67
17.2,16.25,-14.07,19.51
17.3,19.51,-16.9,3.4
17.4,5.89,-8.26,6.27
17.5,-1.19,0.69,1.68
17.6,8.8,-14.04,0.99
17.7,4.78,-19.51,-2.98
17.8,-1.53,7.19,-0.57
17.9,3.52,-1.76,-1.72
18,9.79,-19.51,-4.02
18.1,11.97,-19.51,-4.78
18.2,3.52,-10.06,6.35
18.3,-0.31,-1.8,1.03
18.4,8.22,-19.51,1.8
18.5,0.38,-19.51,5.66
18.6,2.83,4.67,-0.11
18.7,1.49,-2.64,-1.68
18.8,19.51,-19.51,-0.5
18.9,10.9,-19.51,-4.97
19,6.62,-10.33,6.31
19.1,-1.19,-0.11,1.154762
19.4,2.75,4.21,-0.804765
19.6,6.46,-18.86,-11.13
19.7,8.68,-17.9,-1.07
19.8,4.78,-9.52,5.12
19.9,0.08,-0.99,2.91
20,5.74,-18.78,1.99
20.1,5.78,-19.51,-2.41
20.2,2.79,5.74,0.46
20.3,2.94,-4.36,-1.95
20.4,16.45,-18.13,10.25
20.5,15.07,-18.86,-2.22
20.6,2.41,-8.64,5.47
20.7,-0.23,-1.19,4.51
20.8,7.8,-19.51,-2.94
20.9,3.75,-19.51,5.55
21,3.37,5.2,0.46
21.1,0.65,-3.44,-0.15
21.2,3.6,-14.69,-11.74
21.3,7.61,-17.78,-2.03
21.4,5.7,-9.91,7.5
21.5,-3.17,-0.92,3.6
21.6,7,-19.43,-2.64
21.7,5.55,-19.51,6.5
21.8,3.67,4.36,0.19
21.9,1.19,-3.06,-3.56
22,11.78,-11.67,16.71
22.1,17.71,-16.98,-1.49
22.2,7.08,-9.03,4.25
22.3,-2.33,-1.34,3.29
22.4,6.96,-14.72,2.29
22.5,5.24,-19.51,5.09
22.6,3.63,3.06,0.57
22.7,2.94,-2.33,-5.28
22.8,7.04,-4.59,10.1
22.9,17.52,-19.31,-1.57
23,7.19,-7.88,5.74
23.1,-1.15,0.73,2.49
23.2,6.04,-11.74,-2.6
23.3,9.45,-19.51,0.96
23.4,3.02,3.37,-0.69
23.5,1.91,-2.79,-4.63
23.6,7.34,-17.13,-5.89
23.7,12.43,-18.09,-1.61
23.8,5.97,-8.68,6.27
23.9,-1.11,-1.07,1.64
24,6.73,-14.34,-0.5
24.1,9.41,-14.27,1.15
24.2,4.78,0.54,-0.8
24.3,0.65,-3.37,-4.09
24.4,19.51,-19.51,19.51
24.5,18.51,-19.51,-2.374816
25.2,19.51,-17.67,19.47
25.3,9.33,-19.51,-1.49
25.4,2.79,-10.33,6.54
25.5,-1.8,-1.22,1.91
25.6,6.2,-19.43,-0.5
25.7,2.64,-19.51,3.67
25.8,2.22,3.82,-1.84
25.9,2.07,-2.14,-3.6
26,4.32,-5.35,-0.34
26.1,9.68,-17.02,0.69
26.2,2.49,-8.8,4.67
26.3,-1.38,-0.69,4.21
26.4,6.69,-16.71,-1.26
26.5,3.14,-19.51,-4.32
26.6,2.6,4.97,1.38
26.7,2.64,-1.61,-3.44
26.8,19.05,-19.51,18.63
26.9,17.44,-15.68,0.76
27,3.63,-11.4,4.44
27.1,-1.8,-1.03,2.26
27.2,2.79,-10.44,-4.93
27.3,13.81,-14.92,-0.57
27.4,4.44,1.11,0.34
27.5,1.15,-0.19,-7.42
27.6,1.38,0.38,0.65
27.7,17.48,-10.63,3.82
27.8,4.93,-9.91,3.98
27.9,-1.68,-2.45,0
28,0.96,-10.59,-4.82
28.1,14.07,-14.88,3.48
28.2,6.31,-4.09,-0.76
28.3,-0.11,3.17,-4.86
28.4,14.84,-11.89,-1.68
28.5,5.85,-3.63,-0.99
28.6,4.97,-13.16,4.63
28.7,-0.61,-3.56,2.33
28.8,-0.31,-0.84,-0.23
28.9,19.51,-12.35,7.53
29,4.78,-11.78,1.53
29.1,-2.56,3.17,-0.54
29.2,-1.15,-5.24,10.56
29.3,-8.91,0.15,-4.02
29.4,5.09,-15.64,4.7
29.5,0.84,-7.46,8.68
29.6,-0.76,-0.08,1.22
29.7,7.42,-19.51,-0.76
29.8,6,-19.51,7.53
29.9,3.63,1.64,4.93
30,1.64,-4.78,0.65
30.1,5.32,-5.55,-5.78
30.2,11.13,-6.62,10.944873
30.9,1.11,-4.97,5.05
31,10.14,-19.51,9.56
31.1,4.09,-19.51,5.62
31.2,0.8,-6.96,6.35
31.3,-1.49,-1.49,0.15
31.4,5.32,-18.74,-2.75
31.5,7.92,-19.01,7.73
31.6,3.21,3.14,2.26
31.7,1.19,-2.14,1.64
31.8,2.49,6.43,10.94
31.9,12.2,-11.47,-0.69
32,6.43,-10.25,3.82
32.1,-1.53,-0.5,1.76
32.2,8.18,-13.46,-0.92
32.3,10.33,-18.01,0.69
32.4,4.63,1.07,0.23
32.5,-0.69,0.42,-1.68
32.6,5.2,-3.79,1.76
32.7,9.18,-10.94,-3.82
32.8,3.37,-18.17,8.95
32.9,-2.75,-3.63,2.6
33,2.37,0.42,3.37
33.1,19.51,-14.72,6.46
33.2,6.92,-4.51,2.33
33.3,-1.3,3.06,-1.42
33.4,-3.06,-0.73,5.12
33.5,2.29,-11.13,-10.48
33.6,7.42,-17.4,4.7
33.7,-3.56,-5.35,4.44
33.8,1.03,-1.99,1.26
33.9,17.55,-11.21,5.12
34,5.47,-9.68,3.29
34.1,-1.42,4.59,-2.26
34.2,-3.06,-1.57,5.35
34.3,-1.87,-5.93,-7.65
34.4,4.78,-19.51,-2.79
34.5,-3.25,-6.23,5.35
34.6,0.61,-0.99,0.88
34.7,11.51,-19.51,2.79
34.8,2.52,-13.19,7.88
34.9,0.15,6.16,0.27
35,2.07,-9.94,3.02
35.1,7.96,-19.51,-19.35
35.2,1.61,-18.66,0.42
35.3,-0.11,-10.44,6.54
35.4,-0.73,-2.68,3.29
35.5,6.96,-19.51,2.91
35.6,8.41,-19.51,2.03
35.7,3.25,3.1,1.38
35.8,4.05,-1.68,-2.914929
36.6,-0.54,0.31,-3.21
36.7,3.75,1.03,-2.41
36.8,12.74,-9.91,5.51
36.9,-0.73,-12.97,6.69
37,-2.14,-3.06,3.21
37.1,1.72,-5.78,-0.76
37.2,13.08,-19.54,6.73
37.3,7.27,0.96,0.27
37.4,-0.04,2.49,-2.14
37.5,-0.04,-3.82,-2.83
37.6,3.52,-10.67,-2.64
37.7,4.21,-19.51,0.38
37.8,-3.9,-7.46,3.86
37.9,0.11,-0.38,0
38,16.52,-18.28,6.08
38.1,3.4,-13.31,8.11
38.2,0.69,5.89,-0.23
38.3,0.57,-7.23,6.73
38.4,8.87,-19.51,2.45
38.5,1.72,-19.51,0.46
38.6,1.03,-6.85,6.62
38.7,0.42,-1.45,2.64
38.8,2.72,-19.51,-4.44
38.9,0.92,-19.51,3.4
39,1.19,4.7,-0.19
39.1,2.6,-2.22,-2.37
39.2,4.55,-0.92,19.51
39.3,14.99,-15.34,-1.03
39.4,4.78,-8.53,2.75
39.5,-2.52,-1.8,3.37
39.6,2.52,-11.74,-3.63
39.7,11.01,-16.22,1.68
39.8,6.54,3.4,-0.73
39.9,-0.8,1.03,-4.05
40,2.68,2.37,-10.06
40.1,6.35,-6.65,-2.22
40.2,3.44,-19.51,4.67
40.3,-0.73,-3.37,1.38
40.4,-0.27,-0.76,0.69
40.5,19.51,-14.95,5.89
40.6,4.28,-11.13,3.63
40.7,0,4.7,-0.69
40.8,0.99,-10.14,9.56
40.9,-1.72,-9.68,-12.74
41,3.94,-19.51,0.69
41.1,-3.79,-6.46,4.44
41.2,0.46,-0.76,-0.69
41.3,16.79,-18.13,7.53
41.4,3.4,-14.5,6.08
41.5,-0.54,6.85,-1.22
41.6,0.84,-10.21,16.14
41.7,3.79,-14.61,-13.654988
42.3,-0.73,5.43,0.99
42.4,3.79,-4.9,3.25
42.5,2.91,-17.44,-7.61
42.6,3.71,-14.84,-2.07
42.7,1.42,-5.7,8.68
42.8,0.88,-1.3,-0.76
42.9,5.55,-17.29,-0.65
43,2.87,-19.51,6.81
43.1,1.42,2.33,0.76
43.2,1.95,-3.63,-1.95
43.3,5.93,-18.51,-7.11
43.4,9.68,-14.46,2.26
43.5,2.68,-9.87,6.04
43.6,-2.14,-3.25,5.66
43.7,7.38,-16.83,0.42
43.8,1.87,-19.51,2.22
43.9,4.44,2.75,-0.04
44,0.65,-2.07,-3.98
44.1,7.04,-4.21,19.51
44.2,15.07,-11.93,3.56
44.3,2.33,-19.28,6.08
44.4,-2.75,-2.33,2.72
44.5,1.49,-5.7,-1.76
44.6,12.77,-12.74,4.78
44.7,6.31,0.08,1.84
44.8,-1.64,2.41,-4.17
44.9,1.34,-5.01,-4.63
45,7.61,-16.52,2.52
45.1,2.75,-19.51,0.8
45.2,-4.21,-6.04,2.79
45.3,-0.84,-1.3,0.11
45.4,19.51,-12.16,6.08
45.5,3.86,-11.89,1.68
45.6,-0.65,6.04,-0.27
45.7,0.73,-8.11,6.31
45.8,0.38,-9.06,1.22
45.9,1.76,-19.35,-3.56
46,0.31,-8.38,8.22
46.1,1.15,-1.72,1.76
46.2,7.8,-18.47,2.26
46.3,2.26,-19.51,7.5
46.4,2.26,7.04,0.31
46.5,0.61,-6.5,2.52
46.6,4.44,-13.96,-4.67
46.7,4.67,-14.5,-2.26
46.8,0.61,-6.27,5.81
46.9,0.42,-1.76,0.27
47,5.62,-16.37,2.56
47.1,2.03,-19.47,8.8
47.2,1.72,5.7,-0.08
47.3,1.34,-4.9,1.155044
48,2.03,4.93,1.03
48.1,1.76,-3.56,0.57
48.2,19.51,-19.51,19.51
48.3,16.52,-18.09,3.6
48.4,3.33,-12.32,5.12
48.5,-0.46,-2.03,2.91
48.6,8.07,-14.42,-4.4
48.7,6.39,-19.51,3.94
48.8,5.32,2.83,-0.84
48.9,0.34,0.19,-4.17
49,7.34,-3.52,-5.58
49.1,13.04,-8.76,5.89
49.2,5.81,-10.82,5.62
49.3,-1.72,-3.06,-0.65
49.4,2.98,-6.92,-2.22
49.5,6.04,-19.51,2.07
49.6,6.23,1.87,-1.3
49.7,-0.27,4.09,-3.63
49.8,-2.94,-0.5,-13.77
49.9,9.48,-6.62,0.8
50,0.34,-18.21,5.74
50.1,-3.63,-4.36,-0.92
50.2,1.11,-1.91,-1.19
50.3,16.52,-9.33,5.62
50.4,6.81,-7.53,0.8
50.5,-0.57,4.7,-3.44
50.6,-2.29,-5.35,10.48
50.7,3.48,-5.2,-4.21
50.8,2.37,-19.51,5.43
50.9,-3.02,-3.75,1.3
51,0.15,-1.34,0.38
51.1,19.51,-10.59,4.86
51.2,6.46,-12.28,2.75
51.3,-1.76,5.55,-0.73
51.4,2.68,-9.41,10.48
51.5,0.76,-11.32,-1.42
51.6,3.14,-18.51,2.07
51.7,-0.8,-7.57,5.58
51.8,-1.72,-1.84,2.68
51.9,7.27,-19.51,1.07
52,-0.34,-19.51,8.72
52.1,3.14,4.17,-0.38
52.2,0.84,-5.97,-0.84
52.3,2.79,-9.91,-9.75
52.4,5.97,-12.47,0.54
52.5,2.75,-7.65,5.93
52.6,-1.34,-2.45,3.86
52.7,4.82,-19.51,0.88
52.8,0.23,-19.51,3.14
52.9,3.56,4.21,0.57
53,0.61,-5.43,-1.155101
53.7,6.23,2.41,0.38
53.8,0.46,-1.3,-1.26
53.9,6.65,-5.97,0.31
54,12.97,-8.41,5.01
54.1,0.88,-17.78,0.96
54.2,-0.54,-4.9,4.82
54.3,0.96,-0.88,-0.76
54.4,13.62,-12.97,6.27
54.5,5.47,-4.28,1.49
54.6,-0.31,3.17,-1.42
54.7,-1.84,0.46,3.29
54.8,-9.06,4.13,-5.93
54.9,1.76,-19.51,2.56
55,-2.29,-5.24,4.55
55.1,-2.68,0.46,-3.21
55.2,15.26,-19.51,6.2
55.3,1.95,-15.45,7.8
55.4,-0.11,5.05,-0.38
55.5,1.64,-7.15,2.87
55.6,4.02,-19.51,-6.58
55.7,1.3,-19.51,0.73
55.8,0.46,-9.75,6.54
55.9,-2.29,-4.51,2.87
56,5.51,-19.01,2.37
56.1,1.26,-19.51,7.92
56.2,2.18,3.98,0.76
56.3,-0.99,-1.61,-2.07
56.4,4.82,1.95,4.32
56.5,9.29,-5.32,2.03
56.6,1.95,-3.33,0.11
56.7,1.95,-2.45,3.29
56.8,-0.38,-5.51,1.22
56.9,17.17,-8.57,4.55
57,7.11,-7.19,0.8
57.1,-0.23,-3.6,-0.46
57.2,5.81,-9.45,1.8
57.3,4.13,-11.17,0
57.4,3.79,-8.38,-1.49
57.5,3.79,-8.76,0
57.6,3.67,-8.68,-0.19
57.7,4.05,-8.83,-0.46
57.8,3.75,-8.95,-0.42
57.9,4.05,-8.68,-0.31
58,4.09,-8.87,-0.11
58.1,4.17,-8.76,-0.27
58.2,3.75,-8.83,-0.34
58.3,3.82,-8.91,-0.23
58.4,3.98,-8.87,-0.42
58.5,4.05,-8.91,-0.23
58.6,4.02,-8.8,-0.19
58.7,3.98,-8.8,-0.315158
58.9,4.02,-8.8,-0.27
59,4.02,-8.72,-0.275161
59.4,3.98,-8.72,-0.38
59.5,3.86,-8.76,-0.31
59.6,4.02,-8.72,-0.27
59.7,4.02,-8.8,-0.46
59.8,3.98,-8.8,-0.46
59.9,3.94,-8.83,-0.31
60,4.02,-8.83,-0.42
60.1,4.02,-8.72,-0.57
60.2,3.94,-8.87,-0.31
60.3,4.02,-8.72,-0.27
60.4,4.05,-8.83,-0.27
60.5,4.05,-8.72,-0.15
60.6,3.94,-8.83,-0.42
60.7,3.9,-8.8,-0.11
60.8,3.9,-8.87,-0.42
60.9,4.05,-8.8,-0.61
