NAME: ,walk_5_1,,
22.3,1.84,-3.06,-2.94
22.4,0.76,-9.03,-1.07
22.5,0.65,-8.22,-1.72
22.6,0,-8.45,-1.53
22.7,-0.15,-11.28,-1.15
22.8,2.75,-11.74,-3.14
22.9,2.1,-12.47,-2.87
23,1.15,-8.64,-1.076697
23.2,2.33,-8.8,0.966699
23.6,1.15,-7.99,-2.03
23.7,-0.11,-7.61,-1.26
23.8,0.65,-10.02,-1.64
23.9,-0.08,-14.38,-4.47
24,4.36,-14.46,-3.21
24.1,-0.8,-8.99,-1.53
24.2,0.88,-4.05,-2.41
24.3,2.33,-9.6,-0.76
24.4,-2.52,-9.6,4.28
24.5,1.99,-13.85,-0.23
24.6,1.64,-19.51,-2.91
24.7,1.8,-9.48,-1.49
24.8,0.54,-7.08,-1.95
24.9,0.84,-7.73,-1.3
25,-0.73,-12.51,-1.38
25.1,4.02,-10.25,-3.17
25.2,1.26,-14.53,-1.64
25.3,1.61,-6.62,-1.91
25.4,1.38,-6.27,-0.65
25.5,1.72,-11.67,1.42
25.6,-0.11,-15.64,-4.13
25.7,0.99,-12.01,-3.4
25.8,0.69,-8.87,-1.76
25.9,0.65,-7.34,-2.26
26,0.69,-9.56,-1.42
26.1,0.04,-12.39,-1.76
26.2,4.93,-11.05,-4.21
26.3,2.33,-12.97,-2.94
26.4,2.26,-5.89,-1.61
26.5,0.54,-4.97,-0.15
26.6,1.99,-14.72,2.52
26.7,2.91,-8.3,-1.34
26.8,1.84,-16.03,-3.44
26.9,0.92,-8.18,-2.56
27,-0.08,-8.26,-1.3
27.1,-0.42,-9.79,-1.49
27.2,2.18,-13.46,-3.29
27.3,4.78,-11.13,-4.28
27.4,1.64,-10.48,-2.91
27.5,1.22,-5.97,-1.22
27.6,0.69,-5.35,1.8
27.7,1.64,-15.91,4.63
27.8,4.9,-8.34,-0.11
27.9,1.72,-12.24,-1.34
28,0.57,-8.72,-2.6
28.1,-0.54,-7.99,-1.03
28.2,0.5,-9.71,-2.22
28.3,0.5,-14.23,-5.39
28.4,3.21,-11.01,-4.28
28.5,2.18,-10.9,-3.17
28.6,0.96,-5.24,-2.266753
28.9,4.47,-15.83,-3.676756
29.3,0.08,-9.48,-1.45
29.4,0.88,-14.07,-2.94
29.5,5.24,-10.79,-4.7
29.6,1.38,-10.79,-2.22
29.7,0.84,-5.51,-1.38
29.8,0.65,-4.82,2.18
29.9,3.02,-19.12,4.93
30,6.08,-6.73,0.38
30.1,2.83,-11.21,-1.68
30.2,1.15,-8.41,-2.45
30.3,-0.11,-7.11,-1.11
30.4,0.11,-9.71,-1.95
30.5,-0.08,-13.85,-3.52
30.6,3.37,-11.17,-3.86
30.7,1.72,-9.94,-2.29
30.8,0.99,-5.51,-1.53
30.9,1.22,-6.69,2.41
31,0.99,-13.92,4.74
31.1,5.58,-8.68,-0.27
31.2,2.37,-15.18,-2.14
31.3,0.73,-8.49,-2.6
31.4,0.08,-7.61,-0.99
31.5,0.46,-9.64,-2.56
31.6,0.65,-13.73,-4.4
31.7,3.67,-11.78,-3.63
31.8,2.37,-10.02,-1.72
31.9,1.15,-5.2,-1.8
32,1.68,-5.7,0.99
32.1,1.68,-15.03,5.35
32.2,6.23,-14.84,-2.79
32.3,1.8,-17.67,-2.94
32.4,0.46,-7.84,-2.49
32.5,-0.04,-7.57,-1.26
32.6,0.76,-9.79,-2.52
32.7,-0.54,-13.77,-3.67
32.8,3.6,-11.78,-4.28
32.9,2.52,-9.83,-2.03
33,1.11,-5.7,-1.57
33.1,0.76,-4.9,1.19
33.2,3.37,-16.29,5.47
33.3,5.81,-9.75,-0.99
33.4,2.68,-17.9,-3.67
33.5,0.96,-7.8,-2.72
33.6,0.15,-7.73,-1.22
33.7,0.31,-9.03,-1.87
33.8,-0.15,-13.19,-1.57
33.9,4.32,-11.05,-3.67
34,2.03,-12.7,-2.18
34.1,1.07,-6.65,-1.68
34.2,0.76,-4.7,0.42
34.3,1.72,-15.03,1.3
34.4,3.71,-15.03,-1.426811
35,3.17,-10.29,-3.86
35.1,1.49,-14.27,-1.57
35.2,2.14,-6.31,-1.38
35.3,1.11,-4.67,-1.11
35.4,1.57,-12.54,-1.15
35.5,0.73,-12.35,-2.94
35.6,-0.99,-6.43,-4.32
35.7,0.99,-6.92,-1.3
35.8,0.54,-7,-2.14
35.9,-0.92,-10.06,-1.61
36,-0.31,-11.67,-1.03
36.1,3.33,-11.17,-4.36
36.2,2.94,-11.93,-2.33
36.3,1.07,-6.62,-1.64
36.4,0.73,-4.78,-0.15
36.5,0.11,-11.86,0.54
36.6,2.29,-13.88,-2.64
36.7,0.11,-7.08,-3.9
36.8,2.33,-7.15,-1.38
36.9,0.88,-7,-2.49
37,-0.92,-9.26,-0.84
37.1,-0.31,-11.32,-0.76
37.2,2.52,-10.36,-3.79
37.3,2.26,-13.42,-2.79
37.4,1.68,-9.1,-1.61
37.5,1.34,-4.02,-1.3
37.6,2.29,-8.61,0.54
37.7,-3.29,-12.47,4.9
37.8,7.38,-8.34,1.53
37.9,2.03,-12.39,-0.8
38,1.07,-7.8,-2.79
38.1,-0.23,-8.64,-1.03
38.2,0.27,-9.29,-2.45
38.3,1.22,-13,-3.75
38.4,3.75,-9.71,-3.44
38.5,2.98,-12.32,-2.56
38.6,0.84,-7.42,-0.8
38.7,0.11,-4.17,0.92
38.8,1.11,-14.61,5.01
38.9,7.38,-16.52,-4.25
39,0.92,-14.15,-2.14
39.1,0.65,-8.72,-1.26
39.2,0.8,-7.5,-1.49
39.3,-1.07,-9.29,-1.07
39.4,0.38,-11.78,-1.49
39.5,2.6,-10.48,-3.25
39.6,2.94,-13.54,-2.41
39.7,2.45,-8.76,-3.37
39.8,0.73,-3.63,-0.42
39.9,1.87,-10.98,-0.84
40,2.45,-12.85,-0.926867
40.7,3.52,-10.9,-4.74
40.8,2.49,-9.94,-2.91
40.9,0.76,-5.89,-1.38
41,0.99,-5.39,1.26
41.1,1.57,-15.83,5.51
41.2,5.47,-14.27,-5.24
41.3,3.9,-17.17,-3.48
41.4,0.84,-7.57,-2.64
41.5,0.5,-8.26,-1.07
41.6,-1.19,-9.6,-2.18
41.7,1.76,-13.5,-4.21
41.8,4.9,-11.97,-4.36
41.9,0.5,-6.88,-0.92
42,1.38,-5.39,0.19
42.1,-0.08,-9.45,-1.99
42.2,2.14,-12.24,-0.61
42.3,1.84,-10.59,-4.55
42.4,1.11,-8.95,-1.53
42.5,0.76,-7.11,-2.1
42.6,-0.15,-7.88,-1.03
42.7,-1.26,-11.7,-0.96
42.8,2.72,-11.4,-2.75
42.9,1.57,-13.73,-1.38
43,1.76,-6.92,-1.84
43.1,1.42,-4.51,-0.76
43.2,2.22,-12.66,0.19
43.3,2.91,-14.15,-1.57
43.4,-1.3,-7.76,-4.47
43.5,1.3,-8.18,-1.34
43.6,1.03,-7.34,-1.87
43.7,0.31,-8.45,-1.42
43.8,-0.69,-11.7,-0.23
43.9,2.45,-12.58,-3.79
44,3.94,-13.54,-4.51
44.1,0.69,-8.18,-1.72
44.2,0.08,-2.72,-1.53
44.3,0.65,-8.22,-0.04
44.4,0.46,-12.89,2.98
44.5,0.61,-2.07,-3.17
44.6,0.69,-7.8,-1.76
44.7,1.19,-8.91,-1.87
44.8,0.04,-6.35,-1.61
44.9,1.84,-11.32,-2.45
45,-1.3,-13.19,-4.21
45.1,4.32,-13.42,-4.32
45.2,2.72,-8.8,-2.52
45.3,0.65,-4.82,-1.95
45.4,1.87,-5.93,0.92
45.5,-1.34,-14.72,5.97
45.6,6.5,-5.05,-0.15
45.7,1.64,-17.36,-3.486924
46.4,1.34,-5.51,-1.45
46.5,1.15,-6.12,1.95
46.6,1.53,-15.37,4.7
46.7,3.98,-16.06,-4.78
46.8,2.75,-18.13,-4.97
46.9,1.38,-7.65,-2.33
47,0.15,-7.76,-1.53
47.1,-0.27,-10.06,-2.18
47.2,0.11,-12.16,-1.42
47.3,2.68,-10.44,-3.37
47.4,1.72,-14.61,-0.92
47.5,2.03,-7.65,3.17
47.6,0.84,-4.86,-0.19
47.7,1.42,-11.7,-2.41
47.8,0.65,-11.7,-0.27
47.9,0.34,-2.52,-2.52
48,2.64,-7.65,-0.96
48.1,0.73,-7.38,-1.72
48.2,-0.19,-8.45,-1.3
48.3,-0.15,-9.29,-1.84
48.4,0.46,-12.62,-4.32
48.5,3.63,-11.4,-4.36
48.6,1.72,-10.63,-2.18
48.7,0.65,-4.51,-1.61
48.8,1.57,-6.69,2.49
48.9,-0.08,-13.85,5.81
49,6.65,-9.87,-0.76
49.1,1.49,-11.21,-1.99
49.2,0.76,-8.49,-2.41
49.3,-0.54,-9.22,-0.99
49.4,-0.04,-8.76,-2.68
49.5,0.88,-13.62,-4.32
49.6,5.24,-10.1,-3.94
49.7,2.07,-11.17,-1.95
49.8,0.76,-5.24,-0.69
49.9,0.61,-5.74,2.72
50,0.46,-14.88,6.46
50.1,7.04,-8.87,2.14
50.2,1.34,-10.75,-1.95
50.3,0.65,-8.03,-2.68
50.4,-0.23,-8.87,-0.73
50.5,0.65,-9.52,-1.84
50.6,-0.08,-13.65,-4.21
50.7,4.13,-11.17,-4.55
50.8,1.34,-10.98,-1.76
50.9,0.88,-5.12,-1.72
51,0.99,-5.12,0.27
51.1,1.53,-14.72,3.98
51.2,4.47,-14.11,-3.94
51.3,-1.19,-8.57,-2.87
51.4,1.45,-8.41,-1.84
51.5,0.65,-7.5,-1.996982
52.1,1.07,-3.98,-2.1
52.2,1.03,-6.73,0.76
52.3,0.69,-13.69,4.63
52.4,4.21,-14.57,-5.43
52.5,2.68,-19.51,-2.87
52.6,2.14,-7.3,-2.37
52.7,0,-6.62,-1.53
52.8,0.46,-9.33,-0.65
52.9,-0.42,-12.35,-1.8
53,4.21,-10.33,-3.98
53.1,1.64,-14.61,-1.84
53.2,1.84,-8.72,-1.95
53.3,0.04,-4.7,-1.49
53.4,1.8,-11.89,1.76
53.5,-2.49,-7.61,-0.84
53.6,-0.69,-5.89,-3.1
53.7,-0.19,-10.86,-3.37
53.8,-0.42,-8.15,-3.67
53.9,1.15,-9.06,-3.44
54,-0.61,-9.98,-2.98
54.1,0.61,-12.35,-2.72
54.2,0.34,-13,-3.63
54.3,3.02,-10.36,-2.52
54.4,1.45,-5.66,-1.53
54.5,2.29,-7.27,1.34
54.6,-1.53,-12.7,3.21
54.7,6.12,-10.02,-1.03
54.8,2.26,-12.32,-2.94
54.9,1.53,-8.15,-1.42
55,0.73,-7.73,-1.68
55.1,-0.19,-9.26,-1.61
55.2,-1.19,-12.77,-1.61
55.3,5.58,-12.32,-5.09
55.4,2.56,-12.12,-2.37
55.5,1.19,-7,-0.34
55.6,-0.8,-5.24,1.64
55.7,1.76,-10.63,0.42
55.8,5.55,-12.43,-0.27
55.9,0.84,-4.63,-3.06
56,1.95,-9.71,-0.84
56.1,0.11,-9.64,-2.72
56.2,-0.76,-7,-0.92
56.3,0.88,-9.75,-1.42
56.4,1.22,-12.16,-4.05
56.5,2.33,-13.65,-3.48
56.6,2.83,-9.18,-2.98
56.7,0.76,-4.78,-1.57
56.8,1.45,-7.3,2.22
56.9,0.11,-14,4.63
57,3.98,-7.11,-0.31
57.1,2.22,-18.32,-4.827038
57.6,1.53,-12.77,-3.717043
57.8,2.37,-10.86,-2.45
57.9,0.8,-4.4,-2.49
58,1.42,-6.46,0.34
58.1,1.38,-14.88,3.63
58.2,2.6,-14.34,-3.56
58.3,-0.92,-4.93,-1.53
58.4,1.49,-9.87,-1.26
58.5,1.03,-7.19,-2.33
58.6,-0.08,-8.91,-0.96
58.7,-0.08,-9.98,-1.57
58.8,1.53,-12.7,-4.28
58.9,4.05,-10.33,-3.9
59,1.42,-10.21,-1.99
59.1,1.64,-6.73,-2.07
59.2,1.03,-5.39,0.11
59.3,0.34,-12.09,1.07
59.4,3.56,-13.35,-1.91
59.5,0.61,-2.56,-2.91
59.6,1.64,-9.75,-1.61
59.7,1.53,-8.07,-2.26
59.8,-1.19,-8.45,-1.3
59.9,1.26,-7.15,-1.34
60,4.28,-11.7,-5.55
60.1,2.33,-9.14,-3.48
60.2,1.76,-8.38,-2.52
60.3,2.33,-8.91,-2.91
